Customer ID,Churn,Churn Category,Churn Reason,Churn Score,Customer Status,Satisfaction Score
5456-ITGIC,0,Not Churned,Not Churned,68,Stayed,5
7971-HLVXI,0,Not Churned,Not Churned,50,Stayed,5
3662-FXJFO,0,Not Churned,Not Churned,30,Stayed,5
7779-LGOVN,1,Dissatisfaction,Limited range of services,84,Churned,1
2480-EJWYP,0,Not Churned,Not Churned,23,Stayed,3
7544-ZVIKX,0,Not Churned,Not Churned,75,Stayed,5
6257-RJOHI,0,Not Churned,Not Churned,47,Stayed,5
2011-TRQYE,1,Dissatisfaction,Product dissatisfaction,82,Churned,2
5789-LDFXO,0,Not Churned,Not Churned,79,Stayed,3
6352-GIGGQ,0,Not Churned,Not Churned,68,Stayed,3
6807-SIWJI,0,Not Churned,Not Churned,35,Stayed,4
0426-TIRNE,1,Dissatisfaction,Limited range of services,90,Churned,3
4291-TPNFG,0,Not Churned,Not Churned,76,Stayed,3
3746-EUBYR,1,Competitor,Competitor made better offer,75,Churned,1
9362-MWODR,0,Not Churned,Not Churned,79,Stayed,3
7321-ZNSLA,0,Not Churned,Not Churned,27,Stayed,3
0565-JUPYD,0,Not Churned,Not Churned,43,Stayed,4
8336-TAVKX,0,Not Churned,Not Churned,71,Stayed,3
3086-RUCRN,0,Not Churned,Not Churned,46,Stayed,3
3745-HRPHI,0,Not Churned,Not Churned,42,Stayed,5
9928-BZVLZ,0,Not Churned,Not Churned,20,Stayed,3
0674-GCDXG,0,Not Churned,Not Churned,38,Stayed,4
9027-TMATR,0,Not Churned,Not Churned,24,Stayed,4
4910-AQFFX,1,Dissatisfaction,Network reliability,93,Churned,3
3736-BLEPA,0,Not Churned,Not Churned,41,Stayed,5
9220-CXRSC,0,Not Churned,Not Churned,80,Stayed,3
2452-KDRRH,0,Not Churned,Not Churned,28,Stayed,4
7471-WNSUF,0,Not Churned,Not Churned,24,Stayed,3
9992-UJOEL,0,Not Churned,Not Churned,33,Joined,5
5204-QZXPU,1,Competitor,Competitor had better devices,78,Churned,1
9481-SFCQY,0,Not Churned,Not Churned,51,Stayed,4
1247-QBVSH,0,Not Churned,Not Churned,49,Stayed,4
6478-HRRCZ,0,Not Churned,Not Churned,61,Stayed,4
9838-BFCQT,0,Not Churned,Not Churned,41,Stayed,3
7268-IGMFD,0,Not Churned,Not Churned,47,Stayed,4
0750-EBAIU,0,Not Churned,Not Churned,29,Stayed,3
0428-AXXLJ,0,Not Churned,Not Churned,36,Stayed,4
5820-PTRYM,0,Not Churned,Not Churned,79,Stayed,4
3234-VKACU,0,Not Churned,Not Churned,27,Joined,3
5309-TAIKL,0,Not Churned,Not Churned,46,Stayed,4
6834-NXDCA,1,Dissatisfaction,Limited range of services,82,Churned,3
4622-YNKIJ,0,Not Churned,Not Churned,32,Stayed,3
1169-SAOCL,0,Not Churned,Not Churned,27,Stayed,5
9391-EOYLI,1,Competitor,Competitor made better offer,69,Churned,2
0330-BGYZE,0,Not Churned,Not Churned,54,Stayed,5
5067-WJEUN,0,Not Churned,Not Churned,57,Stayed,4
8329-UTMVM,0,Not Churned,Not Churned,31,Stayed,4
9448-REEVD,1,Other,Don't know,74,Churned,3
3411-WLRSQ,0,Not Churned,Not Churned,57,Joined,5
5131-PONJI,0,Not Churned,Not Churned,72,Stayed,3
3312-ZWLGF,0,Not Churned,Not Churned,21,Stayed,5
4079-VTGLK,0,Not Churned,Not Churned,27,Stayed,5
7858-GTZSP,0,Not Churned,Not Churned,71,Stayed,5
2639-UGMAZ,0,Not Churned,Not Churned,68,Stayed,3
2750-BJLSB,0,Not Churned,Not Churned,20,Stayed,4
1732-FEKLD,0,Not Churned,Not Churned,50,Stayed,4
4659-NZRUF,1,Price,Long distance charges,78,Churned,3
4013-GUXND,0,Not Churned,Not Churned,38,Joined,4
7668-XCFYV,0,Not Churned,Not Churned,23,Stayed,3
8651-ENBZX,1,Price,Long distance charges,78,Churned,3
6981-TDRFT,0,Not Churned,Not Churned,39,Stayed,5
7765-LWVVH,0,Not Churned,Not Churned,25,Stayed,3
7696-CFTAT,0,Not Churned,Not Churned,28,Stayed,3
4611-ANLQC,0,Not Churned,Not Churned,65,Stayed,3
7129-CAKJW,0,Not Churned,Not Churned,27,Stayed,5
2397-BRLOM,1,Other,Don't know,91,Churned,1
3197-NNYNB,0,Not Churned,Not Churned,28,Stayed,3
0139-IVFJG,0,Not Churned,Not Churned,29,Joined,3
5167-GBFRE,1,Other,Poor expertise of online support,72,Churned,3
3070-DVEYC,1,Attitude,Attitude of support person,84,Churned,2
0396-HUJBP,0,Not Churned,Not Churned,43,Joined,3
0813-TAXXS,0,Not Churned,Not Churned,59,Stayed,5
0811-GSDTP,0,Not Churned,Not Churned,22,Stayed,5
9522-BNTHX,0,Not Churned,Not Churned,32,Stayed,3
9242-TKFSV,0,Not Churned,Not Churned,30,Stayed,4
8993-PHFWD,1,Competitor,Competitor had better devices,76,Churned,1
6481-LXPWL,0,Not Churned,Not Churned,38,Stayed,3
0547-HURJB,0,Not Churned,Not Churned,70,Stayed,3
4361-BKAXE,1,Competitor,Competitor made better offer,80,Churned,1
5240-CAOYT,0,Not Churned,Not Churned,43,Stayed,3
3714-XPXBW,0,Not Churned,Not Churned,64,Stayed,4
6599-CEBNN,1,Competitor,Competitor made better offer,94,Churned,3
9488-FYQAU,0,Not Churned,Not Churned,78,Stayed,4
8914-RBTSB,1,Other,Don't know,79,Churned,1
1963-VAUKV,1,Price,Long distance charges,92,Churned,3
7217-JYHOQ,0,Not Churned,Not Churned,56,Stayed,3
7657-DYEPJ,1,Price,Lack of affordable download/upload speed,82,Churned,3
9372-TXXPS,0,Not Churned,Not Churned,54,Stayed,3
1291-CUOCY,0,Not Churned,Not Churned,64,Stayed,3
1845-CSBRZ,0,Not Churned,Not Churned,49,Stayed,5
6647-ZEDXT,0,Not Churned,Not Churned,45,Stayed,4
9058-HRZSV,0,Not Churned,Not Churned,7,Stayed,4
0988-AADSA,0,Not Churned,Not Churned,56,Stayed,4
8229-TNIQA,1,Other,Don't know,91,Churned,2
8050-WYBND,0,Not Churned,Not Churned,28,Stayed,3
9027-YFHQJ,0,Not Churned,Not Churned,54,Stayed,5
6051-PTVNS,0,Not Churned,Not Churned,29,Stayed,3
0621-CXBKL,0,Not Churned,Not Churned,54,Stayed,5
4374-YMUSQ,0,Not Churned,Not Churned,22,Stayed,3
5438-QMDDL,0,Not Churned,Not Churned,32,Stayed,3
3096-IZETN,1,Attitude,Attitude of support person,89,Churned,3
8008-ESFLK,0,Not Churned,Not Churned,59,Stayed,3
5228-EXCET,1,Competitor,Competitor made better offer,85,Churned,1
4397-FRLTA,0,Not Churned,Not Churned,75,Stayed,4
6048-NJXHX,0,Not Churned,Not Churned,53,Stayed,4
5982-FPVQN,0,Not Churned,Not Churned,22,Stayed,3
5232-NXPAY,0,Not Churned,Not Churned,55,Stayed,3
5129-JLPIS,0,Not Churned,Not Churned,75,Stayed,3
9497-QCMMS,1,Competitor,Competitor made better offer,81,Churned,1
4933-BSAIP,0,Not Churned,Not Churned,59,Stayed,3
4250-FDVOU,1,Attitude,Attitude of support person,95,Churned,1
2924-KHUVI,0,Not Churned,Not Churned,61,Stayed,3
4800-CZMPC,1,Attitude,Attitude of service provider,71,Churned,1
3758-CKOQL,0,Not Churned,Not Churned,51,Stayed,4
5574-NXZIU,0,Not Churned,Not Churned,33,Stayed,4
0411-EZJZE,0,Not Churned,Not Churned,31,Joined,4
2868-SNELZ,1,Competitor,Competitor made better offer,92,Churned,1
3359-DSRKA,0,Not Churned,Not Churned,46,Stayed,4
1972-XMUWV,0,Not Churned,Not Churned,37,Stayed,5
2746-DIJLO,0,Not Churned,Not Churned,46,Stayed,5
6568-POCUI,0,Not Churned,Not Churned,27,Stayed,5
7394-FKDNK,1,Competitor,Competitor made better offer,91,Churned,2
9114-AAFQH,0,Not Churned,Not Churned,67,Stayed,3
1099-GODLO,0,Not Churned,Not Churned,38,Joined,5
7826-VVKWT,0,Not Churned,Not Churned,73,Stayed,5
9445-SZLCH,1,Dissatisfaction,Limited range of services,86,Churned,2
2481-SBOYW,0,Not Churned,Not Churned,54,Stayed,4
3251-YMVWZ,0,Not Churned,Not Churned,20,Stayed,3
0319-QZTCO,0,Not Churned,Not Churned,52,Joined,3
7873-CVMAW,0,Not Churned,Not Churned,32,Stayed,4
9507-HSMMZ,0,Not Churned,Not Churned,41,Stayed,3
2974-GGUXS,0,Not Churned,Not Churned,48,Stayed,5
4702-IOQDC,1,Competitor,Competitor offered higher download speeds,91,Churned,3
9191-MYQKX,1,Dissatisfaction,Service dissatisfaction,70,Churned,1
5868-CZJDR,1,Attitude,Attitude of service provider,85,Churned,2
7325-ENZFI,0,Not Churned,Not Churned,77,Stayed,3
3858-VOBET,1,Competitor,Competitor made better offer,89,Churned,3
0988-JRWWP,0,Not Churned,Not Churned,68,Joined,4
0956-SYCWG,0,Not Churned,Not Churned,49,Stayed,3
0840-DFEZH,0,Not Churned,Not Churned,37,Stayed,3
2979-SXESE,1,Other,Moved,66,Churned,1
1496-GGSUK,1,Attitude,Attitude of service provider,83,Churned,1
3266-FTKHB,0,Not Churned,Not Churned,60,Stayed,3
8499-BRXTD,0,Not Churned,Not Churned,57,Stayed,5
5702-SKUOB,0,Not Churned,Not Churned,66,Stayed,4
5804-HYIEZ,0,Not Churned,Not Churned,30,Stayed,4
5482-VXSXJ,0,Not Churned,Not Churned,26,Stayed,4
9137-UIYPG,0,Not Churned,Not Churned,80,Stayed,3
8763-KIAFH,0,Not Churned,Not Churned,31,Stayed,4
6131-IUNXN,0,Not Churned,Not Churned,64,Stayed,4
8063-RJYNF,1,Competitor,Competitor offered higher download speeds,73,Churned,1
5146-CBVOE,0,Not Churned,Not Churned,59,Stayed,5
0114-IGABW,0,Not Churned,Not Churned,76,Stayed,5
4452-QIIEB,0,Not Churned,Not Churned,75,Stayed,5
2885-HIJDH,0,Not Churned,Not Churned,49,Stayed,3
3370-HXOPH,0,Not Churned,Not Churned,25,Joined,4
0508-OOLTO,0,Not Churned,Not Churned,67,Joined,3
5680-LQOGP,0,Not Churned,Not Churned,70,Stayed,3
3192-LNKRK,0,Not Churned,Not Churned,67,Stayed,3
2634-HCZGT,1,Other,Moved,77,Churned,1
5049-MUBWG,0,Not Churned,Not Churned,79,Stayed,3
3538-WZPHD,1,Competitor,Competitor had better devices,76,Churned,1
4430-YHXGG,0,Not Churned,Not Churned,77,Stayed,5
7207-RMRDB,1,Competitor,Competitor had better devices,89,Churned,1
2150-UWTFY,1,Dissatisfaction,Service dissatisfaction,87,Churned,1
3090-QFUVD,0,Not Churned,Not Churned,31,Joined,5
3978-YNKDD,0,Not Churned,Not Churned,43,Stayed,4
2181-UAESM,0,Not Churned,Not Churned,25,Joined,4
9725-SCPZG,1,Price,Price too high,80,Churned,3
9578-VRMNM,1,Competitor,Competitor had better devices,73,Churned,1
0562-FGDCR,0,Not Churned,Not Churned,25,Stayed,3
3913-FCUUW,0,Not Churned,Not Churned,48,Stayed,3
1936-CZAKF,0,Not Churned,Not Churned,29,Stayed,4
6496-JDSSB,0,Not Churned,Not Churned,22,Stayed,4
7014-ZZXAW,0,Not Churned,Not Churned,59,Stayed,5
2927-QRRQV,0,Not Churned,Not Churned,79,Stayed,4
5156-UMKOW,0,Not Churned,Not Churned,69,Joined,3
5180-UCIIQ,1,Other,Moved,75,Churned,1
2085-JVGAD,0,Not Churned,Not Churned,24,Stayed,4
2758-RNWXS,0,Not Churned,Not Churned,39,Stayed,4
1310-QRITU,0,Not Churned,Not Churned,65,Stayed,3
5339-TJFEK,0,Not Churned,Not Churned,56,Stayed,4
2484-DGXPZ,1,Attitude,Attitude of support person,67,Churned,3
4316-XCSLJ,0,Not Churned,Not Churned,33,Stayed,3
0641-EVBOJ,0,Not Churned,Not Churned,56,Joined,4
8966-KZXXA,0,Not Churned,Not Churned,45,Stayed,3
5405-ZMYXQ,0,Not Churned,Not Churned,57,Stayed,5
3810-PJUHR,0,Not Churned,Not Churned,69,Stayed,3
9053-JZFKV,1,Other,Don't know,82,Churned,2
5261-QSHQM,1,Competitor,Competitor made better offer,70,Churned,1
4373-MAVJG,1,Competitor,Competitor made better offer,70,Churned,2
3312-UUMZW,0,Not Churned,Not Churned,61,Stayed,4
2220-IAHLS,0,Not Churned,Not Churned,21,Joined,3
2428-ZMCTB,0,Not Churned,Not Churned,62,Stayed,3
5175-WLYXL,0,Not Churned,Not Churned,75,Stayed,5
6870-ZWMNX,0,Not Churned,Not Churned,67,Stayed,4
2984-TBYKU,0,Not Churned,Not Churned,25,Stayed,4
3223-DWFIO,0,Not Churned,Not Churned,26,Stayed,3
5753-QQWPW,0,Not Churned,Not Churned,69,Stayed,3
9337-SRRNI,0,Not Churned,Not Churned,56,Stayed,4
8710-YGLWG,0,Not Churned,Not Churned,21,Joined,3
0404-SWRVG,1,Dissatisfaction,Product dissatisfaction,76,Churned,1
3213-VVOLG,0,Not Churned,Not Churned,49,Stayed,4
6508-NJYRO,0,Not Churned,Not Churned,31,Stayed,4
9286-BHDQG,0,Not Churned,Not Churned,22,Stayed,4
0784-ZQJZX,0,Not Churned,Not Churned,72,Stayed,4
1661-CZBAU,0,Not Churned,Not Churned,56,Stayed,3
4847-QNOKA,1,Dissatisfaction,Lack of self-service on Website,76,Churned,2
5294-DMSFH,0,Not Churned,Not Churned,25,Stayed,4
9614-RMGHA,1,Competitor,Competitor made better offer,82,Churned,3
5652-MSDEY,0,Not Churned,Not Churned,52,Stayed,5
8869-LIHMK,0,Not Churned,Not Churned,78,Stayed,3
4304-XUMGI,0,Not Churned,Not Churned,34,Stayed,4
7541-YLXCL,1,Other,Don't know,71,Churned,1
8878-RYUKI,0,Not Churned,Not Churned,40,Stayed,3
3373-DIUUN,0,Not Churned,Not Churned,70,Stayed,3
9708-KFDBY,0,Not Churned,Not Churned,28,Joined,4
7931-PXHFC,1,Dissatisfaction,Poor expertise of phone support,83,Churned,3
8898-KASCD,0,Not Churned,Not Churned,76,Stayed,3
8984-HPEMB,0,Not Churned,Not Churned,73,Stayed,3
2777-PHDEI,1,Competitor,Competitor offered more data,91,Churned,1
3976-HXHCE,0,Not Churned,Not Churned,42,Stayed,4
8149-AIQCG,0,Not Churned,Not Churned,62,Stayed,5
3148-BLQJT,1,Competitor,Competitor made better offer,80,Churned,1
7601-DHFWZ,0,Not Churned,Not Churned,66,Stayed,3
4654-DLAMQ,0,Not Churned,Not Churned,68,Stayed,3
2928-HLDBA,0,Not Churned,Not Churned,47,Stayed,5
8232-CTLKO,0,Not Churned,Not Churned,80,Stayed,3
4472-LVYGI,0,Not Churned,Not Churned,36,Stayed,3
1965-AKTSX,1,Competitor,Competitor made better offer,88,Churned,1
2070-FNEXE,1,Price,Lack of affordable download/upload speed,81,Churned,2
1698-XFZCI,0,Not Churned,Not Churned,29,Stayed,3
0402-OAMEN,0,Not Churned,Not Churned,64,Stayed,3
0640-YJTPY,0,Not Churned,Not Churned,71,Stayed,5
1866-OBPNR,0,Not Churned,Not Churned,22,Joined,5
3874-EQOEP,1,Competitor,Competitor had better devices,94,Churned,1
1641-RQDAY,0,Not Churned,Not Churned,59,Stayed,3
6242-FEGFD,0,Not Churned,Not Churned,69,Stayed,3
4010-YLMVT,0,Not Churned,Not Churned,80,Stayed,4
8544-JNBOX,0,Not Churned,Not Churned,57,Stayed,5
4510-PYUSH,1,Attitude,Attitude of support person,75,Churned,1
3059-NGMXB,0,Not Churned,Not Churned,24,Stayed,3
2545-EBUPK,0,Not Churned,Not Churned,72,Joined,3
8974-OVACP,0,Not Churned,Not Churned,31,Joined,4
0923-PNFUB,1,Attitude,Attitude of support person,65,Churned,2
6369-MCAKO,0,Not Churned,Not Churned,49,Stayed,3
9003-CPATH,0,Not Churned,Not Churned,70,Stayed,4
6631-HMANX,0,Not Churned,Not Churned,53,Stayed,4
3512-IZIKN,1,Dissatisfaction,Product dissatisfaction,85,Churned,1
7056-IMHCC,1,Price,Price too high,94,Churned,1
7548-SEPYI,1,Competitor,Competitor made better offer,74,Churned,2
3137-LUPIX,0,Not Churned,Not Churned,61,Stayed,4
7595-EUIVN,1,Competitor,Competitor had better devices,70,Churned,1
7184-LRUUR,0,Not Churned,Not Churned,52,Stayed,5
9140-CZQZZ,0,Not Churned,Not Churned,39,Stayed,4
6551-VLJMV,0,Not Churned,Not Churned,29,Stayed,3
0489-WMEMG,0,Not Churned,Not Churned,70,Stayed,3
8690-ZVLCL,0,Not Churned,Not Churned,44,Stayed,3
1091-SOZGA,0,Not Churned,Not Churned,43,Stayed,4
4283-FUTGF,1,Dissatisfaction,Network reliability,65,Churned,3
5394-MEITZ,0,Not Churned,Not Churned,52,Stayed,5
2848-YXSMW,0,Not Churned,Not Churned,23,Stayed,5
2511-ALLCS,0,Not Churned,Not Churned,32,Stayed,4
3391-JSQEW,0,Not Churned,Not Churned,71,Stayed,4
4512-ZUIYL,1,Other,Moved,81,Churned,3
5906-CVLHP,1,Attitude,Attitude of service provider,92,Churned,2
0277-ORXQS,0,Not Churned,Not Churned,30,Stayed,4
2930-UOTMB,1,Competitor,Competitor offered higher download speeds,68,Churned,1
7148-XZPHA,0,Not Churned,Not Churned,32,Stayed,4
6857-VWJDT,1,Attitude,Attitude of service provider,87,Churned,2
5917-HBSDW,0,Not Churned,Not Churned,31,Stayed,5
4257-GAESD,0,Not Churned,Not Churned,72,Stayed,5
0750-EKNGL,0,Not Churned,Not Churned,46,Stayed,5
6952-OMNWB,0,Not Churned,Not Churned,28,Stayed,4
1767-CJKBA,0,Not Churned,Not Churned,48,Stayed,4
8401-EMUWF,0,Not Churned,Not Churned,36,Stayed,3
6349-JDHQP,0,Not Churned,Not Churned,36,Stayed,3
8591-NXRCV,0,Not Churned,Not Churned,77,Stayed,4
8473-VUVJN,1,Attitude,Attitude of service provider,86,Churned,3
9058-CBREO,1,Dissatisfaction,Product dissatisfaction,95,Churned,1
7138-GIRSH,0,Not Churned,Not Churned,76,Stayed,5
4480-QQRHC,0,Not Churned,Not Churned,79,Stayed,3
4312-GVYNH,0,Not Churned,Not Churned,26,Stayed,3
3656-TKRVZ,1,Competitor,Competitor offered more data,65,Churned,2
8873-GLDMH,0,Not Churned,Not Churned,76,Stayed,4
1591-NFNLQ,1,Other,Poor expertise of online support,91,Churned,3
9143-CANJF,0,Not Churned,Not Churned,80,Stayed,3
4389-UEFCZ,0,Not Churned,Not Churned,62,Stayed,3
0690-SRQID,0,Not Churned,Not Churned,72,Stayed,3
3587-PMCOY,0,Not Churned,Not Churned,50,Stayed,3
0488-GSLFR,1,Dissatisfaction,Product dissatisfaction,91,Churned,1
7964-VEXDG,0,Not Churned,Not Churned,62,Stayed,3
5307-UVGNB,0,Not Churned,Not Churned,54,Stayed,4
3733-UOCWF,0,Not Churned,Not Churned,62,Stayed,4
5669-SRAIP,1,Competitor,Competitor offered higher download speeds,93,Churned,2
6980-CDGFC,0,Not Churned,Not Churned,71,Stayed,5
4713-LZDRV,1,Price,Long distance charges,94,Churned,3
4114-QMKVN,0,Not Churned,Not Churned,53,Stayed,3
7508-KBIMB,0,Not Churned,Not Churned,52,Stayed,4
7089-RKVSZ,0,Not Churned,Not Churned,35,Stayed,5
7890-VYYWG,1,Competitor,Competitor had better devices,89,Churned,1
3873-WOSBC,0,Not Churned,Not Churned,38,Stayed,3
2833-SLKDQ,1,Competitor,Competitor had better devices,91,Churned,1
2983-ZANRP,1,Competitor,Competitor had better devices,90,Churned,1
2824-DXNKN,0,Not Churned,Not Churned,30,Stayed,3
5906-BFOZT,0,Not Churned,Not Churned,21,Joined,5
7706-YLMQA,0,Not Churned,Not Churned,72,Stayed,4
6198-RTPMF,0,Not Churned,Not Churned,32,Stayed,4
1724-BQUHA,1,Attitude,Attitude of support person,66,Churned,2
6821-JPCDC,0,Not Churned,Not Churned,66,Stayed,5
5968-HYJRZ,0,Not Churned,Not Churned,78,Stayed,4
8845-LWKGE,0,Not Churned,Not Churned,60,Stayed,5
7872-RDDLZ,0,Not Churned,Not Churned,33,Stayed,4
4741-WWJQZ,0,Not Churned,Not Churned,26,Joined,3
1219-NNDDO,0,Not Churned,Not Churned,38,Stayed,5
0361-HJRDX,0,Not Churned,Not Churned,40,Stayed,3
5236-PERKL,1,Competitor,Competitor offered higher download speeds,89,Churned,1
4971-PUYQO,1,Competitor,Competitor made better offer,89,Churned,2
2133-TSRRM,0,Not Churned,Not Churned,39,Stayed,4
2157-MXBJS,1,Dissatisfaction,Network reliability,89,Churned,3
7241-AJHFS,0,Not Churned,Not Churned,66,Stayed,3
6521-YYTYI,1,Other,Moved,65,Churned,3
1025-FALIX,0,Not Churned,Not Churned,23,Stayed,3
3454-JFUBC,0,Not Churned,Not Churned,55,Stayed,5
8218-FFJDS,0,Not Churned,Not Churned,27,Stayed,3
5203-XEHAX,0,Not Churned,Not Churned,48,Stayed,3
2615-YVMYX,0,Not Churned,Not Churned,64,Stayed,3
4884-LEVMQ,0,Not Churned,Not Churned,80,Stayed,5
4918-QLLIW,1,Other,Don't know,65,Churned,2
2378-HTWFW,0,Not Churned,Not Churned,35,Stayed,3
0082-OQIQY,0,Not Churned,Not Churned,60,Stayed,5
3900-AQPHZ,1,Attitude,Attitude of support person,91,Churned,2
2004-OCQXK,1,Competitor,Competitor had better devices,85,Churned,1
3324-OIRTO,0,Not Churned,Not Churned,74,Stayed,4
6582-PLFUU,0,Not Churned,Not Churned,40,Stayed,4
0440-MOGPM,0,Not Churned,Not Churned,29,Stayed,3
1809-DMJHQ,1,Competitor,Competitor had better devices,85,Churned,1
2065-MMKGR,0,Not Churned,Not Churned,32,Stayed,5
7026-YMSBE,0,Not Churned,Not Churned,59,Stayed,4
5997-OPVFA,0,Not Churned,Not Churned,54,Stayed,4
3920-HIHMQ,0,Not Churned,Not Churned,38,Stayed,5
5019-GQVCR,0,Not Churned,Not Churned,56,Stayed,4
1208-NBVFH,0,Not Churned,Not Churned,68,Stayed,3
0725-CXOTM,0,Not Churned,Not Churned,68,Stayed,3
7975-TZMLR,0,Not Churned,Not Churned,29,Stayed,4
7180-PISOG,1,Attitude,Attitude of service provider,75,Churned,3
8624-GIOUT,1,Other,Don't know,78,Churned,1
2878-RMWXY,0,Not Churned,Not Churned,66,Stayed,3
0347-UBKUZ,0,Not Churned,Not Churned,29,Stayed,4
7005-CYUIL,0,Not Churned,Not Churned,29,Stayed,3
2025-JKFWI,1,Price,Lack of affordable download/upload speed,81,Churned,1
6092-QZVPP,0,Not Churned,Not Churned,53,Stayed,3
6202-JVYEU,0,Not Churned,Not Churned,31,Stayed,4
4720-VSTSI,1,Attitude,Attitude of support person,66,Churned,2
1663-MHLHE,0,Not Churned,Not Churned,44,Joined,3
5325-UWTWJ,0,Not Churned,Not Churned,48,Stayed,4
4139-DETXS,0,Not Churned,Not Churned,45,Stayed,4
1100-DDVRV,0,Not Churned,Not Churned,24,Stayed,5
2186-QZEYA,0,Not Churned,Not Churned,30,Stayed,3
5366-IJEQJ,1,Other,Don't know,86,Churned,1
9670-BPNXF,0,Not Churned,Not Churned,80,Stayed,3
4667-QONEA,0,Not Churned,Not Churned,59,Stayed,3
3721-WKIIL,0,Not Churned,Not Churned,21,Stayed,5
1395-WSWXR,0,Not Churned,Not Churned,43,Stayed,3
1218-VKFPE,1,Competitor,Competitor made better offer,72,Churned,1
2984-AFWNC,0,Not Churned,Not Churned,70,Joined,3
1506-YJTYT,0,Not Churned,Not Churned,76,Stayed,3
0516-WJVXC,1,Dissatisfaction,Network reliability,78,Churned,1
1075-BGWOH,1,Attitude,Attitude of support person,87,Churned,2
1097-FSPVW,0,Not Churned,Not Churned,72,Stayed,3
9962-BFPDU,0,Not Churned,Not Churned,52,Joined,5
0524-IAVZO,1,Other,Don't know,90,Churned,2
1257-SXUXQ,0,Not Churned,Not Churned,79,Stayed,3
5027-XWQHA,1,Dissatisfaction,Network reliability,78,Churned,2
2716-GFZOR,0,Not Churned,Not Churned,42,Stayed,3
2674-MLXMN,0,Not Churned,Not Churned,77,Stayed,4
5995-OIGLP,1,Price,Extra data charges,90,Churned,1
4227-OJHAL,0,Not Churned,Not Churned,67,Stayed,4
1757-TCATG,0,Not Churned,Not Churned,49,Stayed,3
6979-ZNSFF,1,Price,Price too high,69,Churned,1
1393-IMKZG,0,Not Churned,Not Churned,23,Joined,4
0727-BMPLR,1,Competitor,Competitor offered higher download speeds,83,Churned,3
2962-XPMCQ,1,Competitor,Competitor offered higher download speeds,81,Churned,2
4693-VWVBO,0,Not Churned,Not Churned,46,Joined,4
5597-GLBUC,1,Price,Lack of affordable download/upload speed,95,Churned,2
