Customer ID,Phone Service,Multiple Lines,Internet Service,Internet Type,Streaming TV,Streaming Movies,Streaming Music,Online Security,Online Backup,Device Protection Plan,Premium Tech Support,Unlimited Data
7971-HLVXI,1,1,1,Fiber Optic,0,1,1,0,0,0,0,1
3662-FXJFO,1,0,0,No internet,0,0,0,0,0,0,0,0
7779-LGOVN,1,1,1,Cable,0,1,0,0,0,0,0,1
2480-EJWYP,1,1,1,Fiber Optic,1,1,0,0,1,0,0,1
7544-ZVIKX,1,1,1,Fiber Optic,1,1,1,0,0,1,1,1
6257-RJOHI,1,0,1,DSL,0,0,0,0,0,0,1,1
2011-TRQYE,0,0,1,DSL,0,0,0,0,1,1,0,1
5789-LDFXO,1,1,0,No internet,0,0,0,0,0,0,0,0
6352-GIGGQ,1,1,1,DSL,1,1,1,1,1,1,1,1
6807-SIWJI,1,1,1,Fiber Optic,1,1,1,1,1,0,0,1
0426-TIRNE,1,0,0,No internet,0,0,0,0,0,0,0,0
4291-TPNFG,1,1,1,DSL,0,1,1,1,1,1,1,0
3746-EUBYR,1,1,1,Fiber Optic,0,0,0,0,0,0,0,1
9362-MWODR,1,0,1,DSL,1,0,0,1,0,0,1,1
7321-ZNSLA,0,0,1,DSL,0,0,0,1,1,0,1,1
0565-JUPYD,1,1,1,Fiber Optic,1,0,0,1,1,1,1,1
8336-TAVKX,1,1,1,DSL,0,1,1,1,1,1,1,1
3086-RUCRN,1,1,1,Fiber Optic,0,1,1,1,1,1,1,1
3745-HRPHI,0,0,1,DSL,1,1,1,0,0,1,1,1
9928-BZVLZ,0,0,1,DSL,0,1,1,1,0,1,1,1
0674-GCDXG,1,1,1,DSL,0,1,1,1,0,1,1,1
9027-TMATR,1,0,1,DSL,1,1,1,1,0,1,1,1
4910-AQFFX,1,1,1,Cable,0,0,0,0,0,1,0,0
3736-BLEPA,1,0,1,Fiber Optic,1,0,0,0,1,0,1,1
9220-CXRSC,1,1,1,DSL,0,0,0,1,0,0,1,1
2452-KDRRH,1,1,1,Fiber Optic,1,1,0,0,0,1,0,1
7471-WNSUF,1,1,0,No internet,0,0,0,0,0,0,0,0
9992-UJOEL,1,0,1,DSL,0,0,0,0,1,0,0,1
5204-QZXPU,0,0,1,DSL,1,0,0,0,0,1,0,1
9481-SFCQY,1,0,1,DSL,1,0,0,0,0,1,0,1
1247-QBVSH,1,0,1,DSL,0,0,0,0,1,0,0,1
6478-HRRCZ,1,0,1,DSL,0,1,1,1,1,0,1,1
9838-BFCQT,1,1,0,No internet,0,0,0,0,0,0,0,0
7268-IGMFD,1,1,1,Fiber Optic,1,0,0,0,0,1,1,1
0750-EBAIU,1,0,1,Fiber Optic,1,0,0,1,0,1,0,1
0428-AXXLJ,1,0,0,No internet,0,0,0,0,0,0,0,0
5820-PTRYM,1,1,1,Cable,0,0,0,1,1,1,1,1
3234-VKACU,1,0,1,DSL,1,1,1,0,0,0,1,1
5309-TAIKL,1,0,1,DSL,0,1,1,0,0,1,1,1
6834-NXDCA,0,0,1,DSL,0,0,0,0,0,0,0,1
4622-YNKIJ,1,0,1,Fiber Optic,1,0,0,1,0,0,1,1
1169-SAOCL,1,1,1,Fiber Optic,1,1,1,0,1,0,1,0
9391-EOYLI,1,0,1,Fiber Optic,0,1,0,0,0,0,0,1
0330-BGYZE,1,1,1,Fiber Optic,1,1,1,0,1,1,0,1
5067-WJEUN,1,0,1,Cable,0,0,0,1,1,0,0,0
8329-UTMVM,1,1,1,Fiber Optic,1,1,0,0,1,0,1,1
9448-REEVD,1,0,1,DSL,0,0,1,0,0,0,0,1
3411-WLRSQ,1,0,1,Fiber Optic,0,0,0,0,1,0,0,0
5131-PONJI,1,0,1,Fiber Optic,1,0,0,0,1,1,0,1
3312-ZWLGF,1,1,1,Fiber Optic,0,0,0,0,0,0,1,1
4079-VTGLK,1,1,1,DSL,1,1,0,0,0,1,0,1
7858-GTZSP,1,1,1,Fiber Optic,0,1,1,0,0,0,0,0
2639-UGMAZ,0,0,1,DSL,1,1,1,1,1,0,0,1
2750-BJLSB,1,0,1,Fiber Optic,1,1,1,1,0,1,1,1
1732-FEKLD,1,1,1,Fiber Optic,1,0,0,0,1,1,0,0
4659-NZRUF,1,1,1,Fiber Optic,0,1,1,1,1,0,0,0
4013-GUXND,1,0,0,No internet,0,0,0,0,0,0,0,0
7668-XCFYV,1,1,1,Fiber Optic,1,1,0,0,0,0,0,1
8651-ENBZX,1,1,1,Fiber Optic,1,1,0,0,0,1,1,0
6981-TDRFT,0,0,1,DSL,1,1,1,0,0,1,1,0
7765-LWVVH,1,1,1,Fiber Optic,1,0,0,1,1,0,0,1
7696-CFTAT,1,0,0,No internet,0,0,0,0,0,0,0,0
4611-ANLQC,0,0,1,Cable,0,1,1,1,1,1,0,1
7129-CAKJW,1,1,1,Fiber Optic,0,0,0,0,0,1,0,1
2397-BRLOM,1,0,1,Fiber Optic,1,0,0,0,0,0,0,1
3197-NNYNB,1,1,1,Fiber Optic,1,1,1,0,1,1,0,1
0139-IVFJG,1,0,1,Fiber Optic,1,0,0,1,1,0,0,1
5167-GBFRE,0,0,1,DSL,0,0,0,0,0,0,0,1
3070-DVEYC,1,1,1,Fiber Optic,0,0,0,0,0,0,0,1
0396-HUJBP,1,0,0,No internet,0,0,0,0,0,0,0,0
0813-TAXXS,1,1,1,DSL,1,1,1,0,0,1,0,1
0811-GSDTP,0,0,1,Cable,0,0,0,0,1,0,0,0
9522-BNTHX,0,0,1,DSL,1,1,0,0,1,1,0,1
9242-TKFSV,0,0,1,DSL,1,1,1,1,1,1,1,1
8993-PHFWD,0,0,1,DSL,0,0,0,0,0,0,0,1
6481-LXPWL,0,0,1,DSL,0,0,0,0,1,1,0,0
0547-HURJB,1,0,0,No internet,0,0,0,0,0,0,0,0
4361-BKAXE,1,1,1,Fiber Optic,1,1,1,1,1,1,1,1
5240-CAOYT,1,1,1,Fiber Optic,0,0,0,1,1,0,1,1
3714-XPXBW,1,1,1,DSL,1,0,0,1,1,1,1,0
6599-CEBNN,1,0,1,Fiber Optic,0,0,0,0,1,0,0,1
9488-FYQAU,1,1,1,Fiber Optic,1,1,1,0,1,1,1,1
8914-RBTSB,1,1,1,Fiber Optic,1,0,0,0,1,1,0,0
1963-VAUKV,1,0,0,No internet,0,0,0,0,0,0,0,0
7217-JYHOQ,1,0,1,Cable,0,1,1,1,1,0,1,1
7657-DYEPJ,1,0,1,Cable,1,0,0,0,1,1,1,1
9372-TXXPS,1,0,1,Cable,0,0,0,1,1,0,1,1
1291-CUOCY,1,1,1,Fiber Optic,1,1,1,0,1,1,1,1
1845-CSBRZ,1,1,1,Fiber Optic,1,0,0,0,0,0,0,1
6647-ZEDXT,1,1,1,Fiber Optic,1,1,1,0,1,1,1,1
9058-HRZSV,1,0,1,Fiber Optic,0,1,1,1,1,1,0,1
0988-AADSA,1,1,1,Cable,0,1,1,1,1,1,1,0
8229-TNIQA,1,0,1,Cable,0,0,0,0,0,0,0,1
8050-WYBND,0,0,1,DSL,1,1,1,0,0,1,0,1
9027-YFHQJ,1,1,0,No internet,0,0,0,0,0,0,0,0
6051-PTVNS,1,0,0,No internet,0,0,0,0,0,0,0,0
0621-CXBKL,1,0,0,No internet,0,0,0,0,0,0,0,0
4374-YMUSQ,1,1,1,Fiber Optic,1,1,1,1,1,1,1,1
5438-QMDDL,1,0,1,DSL,0,1,1,0,1,0,0,1
3096-IZETN,1,0,1,Fiber Optic,0,1,1,0,0,0,0,1
8008-ESFLK,1,0,1,Fiber Optic,1,1,1,1,1,1,1,1
5228-EXCET,1,0,1,Fiber Optic,0,1,1,0,0,0,0,1
4397-FRLTA,1,0,0,No internet,0,0,0,0,0,0,0,0
6048-NJXHX,1,0,0,No internet,0,0,0,0,0,0,0,0
5982-FPVQN,1,1,1,Fiber Optic,0,1,1,0,1,1,0,1
5232-NXPAY,1,0,1,DSL,1,1,1,0,0,1,1,1
5129-JLPIS,1,0,1,Fiber Optic,1,1,1,1,0,1,1,1
9497-QCMMS,1,1,1,Fiber Optic,1,1,0,0,0,0,0,1
4933-BSAIP,1,0,0,No internet,0,0,0,0,0,0,0,0
4250-FDVOU,1,0,1,DSL,0,0,0,1,1,0,0,1
2924-KHUVI,1,1,1,Fiber Optic,1,1,1,1,0,0,0,1
4800-CZMPC,1,1,1,Fiber Optic,1,1,1,1,1,0,0,1
3758-CKOQL,1,1,1,Fiber Optic,0,1,1,1,1,1,1,0
5574-NXZIU,1,0,1,Fiber Optic,1,1,1,1,1,1,1,1
0411-EZJZE,1,1,1,DSL,1,0,0,0,0,0,0,0
2868-SNELZ,1,1,1,Fiber Optic,0,0,0,0,0,1,0,1
3359-DSRKA,1,0,0,No internet,0,0,0,0,0,0,0,0
1972-XMUWV,1,0,1,Cable,1,0,0,0,0,0,1,1
2746-DIJLO,1,1,1,DSL,0,0,0,0,1,0,0,1
6568-POCUI,1,0,1,Fiber Optic,1,1,1,0,0,0,1,0
7394-FKDNK,1,0,1,Fiber Optic,1,1,1,0,0,0,0,1
9114-AAFQH,1,0,1,DSL,0,1,1,0,1,1,0,1
1099-GODLO,1,0,0,No internet,0,0,0,0,0,0,0,0
7826-VVKWT,1,0,1,Fiber Optic,1,1,1,0,0,1,0,1
9445-SZLCH,1,1,1,Fiber Optic,1,0,0,0,1,1,0,1
2481-SBOYW,1,1,0,No internet,0,0,0,0,0,0,0,0
3251-YMVWZ,1,1,0,No internet,0,0,0,0,0,0,0,0
0319-QZTCO,1,0,1,DSL,1,0,0,0,1,0,0,1
7873-CVMAW,1,1,1,DSL,1,1,1,1,1,1,1,1
9507-HSMMZ,1,0,0,No internet,0,0,0,0,0,0,0,0
2974-GGUXS,1,1,1,Fiber Optic,1,0,0,0,1,0,0,1
4702-IOQDC,1,0,1,Fiber Optic,0,0,0,0,0,0,0,1
9191-MYQKX,1,0,1,Fiber Optic,0,0,0,0,0,1,0,1
5868-CZJDR,0,0,1,DSL,0,0,0,0,1,0,0,0
7325-ENZFI,0,0,1,DSL,0,0,0,1,1,0,1,1
3858-VOBET,1,1,1,Cable,0,0,0,0,0,0,0,1
0988-JRWWP,1,0,1,DSL,1,0,0,0,0,0,0,1
0956-SYCWG,1,0,0,No internet,0,0,0,0,0,0,0,0
0840-DFEZH,1,1,1,Fiber Optic,0,0,0,0,0,0,0,1
2979-SXESE,1,1,1,Cable,1,0,0,1,0,1,0,1
1496-GGSUK,0,0,1,Cable,0,0,0,0,0,0,0,1
3266-FTKHB,1,0,0,No internet,0,0,0,0,0,0,0,0
8499-BRXTD,1,0,0,No internet,0,0,0,0,0,0,0,0
5702-SKUOB,1,0,0,No internet,0,0,0,0,0,0,0,0
5804-HYIEZ,1,1,1,Fiber Optic,1,1,1,1,1,0,0,1
5482-VXSXJ,1,0,1,Fiber Optic,1,1,1,0,1,0,0,1
9137-UIYPG,1,0,1,Fiber Optic,1,1,1,1,0,1,1,0
8763-KIAFH,1,0,0,No internet,0,0,0,0,0,0,0,0
6131-IUNXN,1,0,0,No internet,0,0,0,0,0,0,0,0
8063-RJYNF,1,0,1,Fiber Optic,1,1,1,1,0,0,0,0
5146-CBVOE,1,0,1,Fiber Optic,0,0,0,0,1,0,0,1
0114-IGABW,0,0,1,Cable,1,1,1,0,1,1,1,1
4452-QIIEB,1,0,1,DSL,0,0,0,0,0,0,0,1
2885-HIJDH,1,1,1,DSL,1,1,1,1,0,1,1,1
3370-HXOPH,1,1,1,Fiber Optic,0,0,0,0,0,0,0,1
0508-OOLTO,1,0,1,Fiber Optic,0,0,0,0,0,0,0,1
5680-LQOGP,1,0,1,Cable,1,1,1,1,1,1,1,0
3192-LNKRK,1,0,1,Fiber Optic,1,0,0,0,0,1,0,1
2634-HCZGT,1,1,1,Cable,0,0,0,1,0,0,1,0
5049-MUBWG,1,0,1,DSL,1,1,1,1,0,0,1,1
3538-WZPHD,0,0,1,Cable,0,0,0,0,1,0,0,1
4430-YHXGG,1,1,0,No internet,0,0,0,0,0,0,0,0
7207-RMRDB,1,1,1,Fiber Optic,1,1,1,0,1,1,0,1
2150-UWTFY,1,0,1,DSL,0,0,0,1,1,1,0,0
3090-QFUVD,1,0,0,No internet,0,0,0,0,0,0,0,0
3978-YNKDD,1,0,0,No internet,0,0,0,0,0,0,0,0
2181-UAESM,1,0,1,Cable,0,0,0,1,0,1,0,1
9725-SCPZG,1,0,1,Fiber Optic,1,1,1,0,0,0,0,1
9578-VRMNM,1,1,1,DSL,0,1,1,0,0,1,0,1
0562-FGDCR,1,1,1,DSL,1,0,0,1,1,0,1,1
3913-FCUUW,1,1,1,DSL,0,0,0,1,1,1,1,1
1936-CZAKF,0,0,1,Cable,1,1,1,0,1,0,0,1
6496-JDSSB,1,0,1,Fiber Optic,1,0,0,0,0,0,0,1
7014-ZZXAW,1,1,0,No internet,0,0,0,0,0,0,0,0
2927-QRRQV,1,1,1,Fiber Optic,1,0,0,0,1,1,0,1
5156-UMKOW,0,0,1,DSL,0,0,0,0,1,0,0,1
5180-UCIIQ,0,0,1,Cable,0,1,0,1,0,0,0,1
2085-JVGAD,1,0,0,No internet,0,0,0,0,0,0,0,0
2758-RNWXS,1,0,1,Fiber Optic,0,1,1,1,0,0,1,1
1310-QRITU,1,1,1,DSL,0,0,0,0,0,0,0,1
5339-TJFEK,1,1,1,Fiber Optic,1,1,1,1,1,0,0,0
2484-DGXPZ,1,0,0,No internet,0,0,0,0,0,0,0,0
4316-XCSLJ,1,0,1,DSL,0,0,0,1,0,0,0,1
0641-EVBOJ,1,0,1,Fiber Optic,0,0,0,1,0,0,1,0
8966-KZXXA,1,1,0,No internet,0,0,0,0,0,0,0,0
5405-ZMYXQ,1,1,1,Fiber Optic,0,0,0,0,0,0,0,1
3810-PJUHR,1,1,0,No internet,0,0,0,0,0,0,0,0
9053-JZFKV,1,1,1,Fiber Optic,1,1,1,1,1,1,1,1
5261-QSHQM,0,0,1,DSL,0,0,0,0,0,0,0,1
4373-MAVJG,1,1,1,Fiber Optic,0,1,1,0,1,0,0,1
3312-UUMZW,1,1,1,Fiber Optic,1,1,1,0,1,0,0,1
2220-IAHLS,1,0,0,No internet,0,0,0,0,0,0,0,0
2428-ZMCTB,1,0,0,No internet,0,0,0,0,0,0,0,0
5175-WLYXL,1,1,1,Fiber Optic,0,0,0,0,1,0,0,0
6870-ZWMNX,1,1,1,DSL,1,0,0,0,1,1,1,0
2984-TBYKU,1,1,1,Fiber Optic,0,1,1,1,1,1,1,1
3223-DWFIO,1,0,1,Fiber Optic,0,0,0,0,0,0,0,1
5753-QQWPW,1,0,1,DSL,0,0,0,1,1,0,1,1
9337-SRRNI,1,1,0,No internet,0,0,0,0,0,0,0,0
8710-YGLWG,1,0,1,DSL,0,0,0,0,0,0,0,1
0404-SWRVG,1,1,1,Fiber Optic,0,0,1,0,0,0,0,1
3213-VVOLG,1,1,0,No internet,0,0,0,0,0,0,0,0
6508-NJYRO,1,0,0,No internet,0,0,0,0,0,0,0,0
9286-BHDQG,0,0,1,DSL,0,0,0,1,1,1,1,1
0784-ZQJZX,1,0,0,No internet,0,0,0,0,0,0,0,0
1661-CZBAU,1,1,1,DSL,0,1,1,1,0,0,1,1
4847-QNOKA,1,0,1,DSL,0,0,0,0,0,0,0,1
5294-DMSFH,1,0,1,Fiber Optic,1,1,1,0,0,0,0,1
9614-RMGHA,1,1,1,Fiber Optic,1,0,1,0,1,0,0,1
5652-MSDEY,1,1,1,Fiber Optic,0,0,0,0,0,0,0,1
8869-LIHMK,1,1,1,Fiber Optic,1,1,1,1,1,1,1,1
4304-XUMGI,1,1,1,DSL,0,1,1,1,1,1,0,1
7541-YLXCL,1,0,1,Cable,0,1,1,0,1,0,1,1
8878-RYUKI,1,0,1,DSL,0,1,1,0,0,1,0,1
3373-DIUUN,1,0,0,No internet,0,0,0,0,0,0,0,0
9708-KFDBY,1,0,0,No internet,0,0,0,0,0,0,0,0
7931-PXHFC,1,0,1,Cable,0,1,1,0,0,1,1,1
8898-KASCD,0,0,1,DSL,0,0,0,0,0,1,1,1
8984-HPEMB,1,1,1,Fiber Optic,1,1,1,1,1,1,1,1
2777-PHDEI,1,0,1,Fiber Optic,1,0,1,0,0,0,0,0
3976-HXHCE,1,0,0,No internet,0,0,0,0,0,0,0,0
8149-AIQCG,1,1,1,Fiber Optic,0,0,0,0,0,0,0,1
3148-BLQJT,1,0,0,No internet,0,0,0,0,0,0,0,0
7601-DHFWZ,1,1,0,No internet,0,0,0,0,0,0,0,0
4654-DLAMQ,1,0,1,Fiber Optic,0,1,0,1,1,1,0,1
2928-HLDBA,1,0,0,No internet,0,0,0,0,0,0,0,0
8232-CTLKO,1,0,1,DSL,1,0,0,1,0,0,0,1
4472-LVYGI,0,0,1,Cable,1,0,0,1,0,1,1,1
1965-AKTSX,1,1,1,Fiber Optic,0,0,0,0,1,0,0,1
2070-FNEXE,1,0,1,Fiber Optic,0,0,0,1,0,0,0,0
1698-XFZCI,1,1,1,Fiber Optic,1,1,1,1,1,1,0,1
0402-OAMEN,1,1,0,No internet,0,0,0,0,0,0,0,0
0640-YJTPY,1,0,0,No internet,0,0,0,0,0,0,0,0
1866-OBPNR,1,0,1,Fiber Optic,0,0,0,0,1,0,0,1
3874-EQOEP,1,1,1,Cable,1,1,1,0,0,0,0,0
1641-RQDAY,1,1,1,Fiber Optic,1,1,0,0,1,0,0,1
6242-FEGFD,1,1,1,Fiber Optic,0,0,0,1,1,1,1,1
4010-YLMVT,1,1,1,Fiber Optic,1,1,1,1,1,0,0,1
8544-JNBOX,1,0,0,No internet,0,0,0,0,0,0,0,0
4510-PYUSH,1,0,1,DSL,0,0,0,1,1,0,0,1
3059-NGMXB,1,1,1,DSL,0,1,1,1,1,0,0,1
2545-EBUPK,1,1,1,Fiber Optic,0,1,0,0,0,0,0,1
8974-OVACP,1,0,0,No internet,0,0,0,0,0,0,0,0
0923-PNFUB,1,0,1,Fiber Optic,1,0,0,0,1,0,0,1
6369-MCAKO,1,1,1,DSL,1,1,1,1,1,1,1,1
9003-CPATH,1,1,1,Fiber Optic,0,0,0,0,0,1,0,1
6631-HMANX,1,1,1,Cable,1,1,1,0,1,1,1,1
3512-IZIKN,1,1,1,DSL,0,0,0,1,0,1,1,1
7056-IMHCC,1,1,1,Fiber Optic,1,1,0,0,1,0,0,1
7548-SEPYI,1,0,1,Fiber Optic,1,1,1,0,1,0,0,1
3137-LUPIX,1,1,1,Cable,1,0,0,0,0,0,1,1
7595-EUIVN,1,0,1,Fiber Optic,0,0,0,0,1,0,0,1
7184-LRUUR,1,0,1,DSL,1,0,0,0,1,1,0,1
9140-CZQZZ,1,0,1,DSL,1,1,1,1,1,0,1,1
6551-VLJMV,1,0,0,No internet,0,0,0,0,0,0,0,0
0489-WMEMG,1,0,1,Cable,0,0,0,0,0,0,1,1
8690-ZVLCL,1,1,1,DSL,1,1,1,1,1,1,1,0
1091-SOZGA,1,1,1,Fiber Optic,1,1,1,0,0,1,0,1
4283-FUTGF,1,1,1,Fiber Optic,0,0,0,0,0,1,0,1
5394-MEITZ,1,0,1,Cable,1,1,1,0,1,1,1,1
2848-YXSMW,1,0,0,No internet,0,0,0,0,0,0,0,0
2511-ALLCS,1,1,0,No internet,0,0,0,0,0,0,0,0
3391-JSQEW,1,0,1,DSL,0,0,0,0,1,0,0,1
4512-ZUIYL,1,0,1,Fiber Optic,0,0,0,0,0,0,0,1
5906-CVLHP,1,0,1,Cable,0,0,0,0,1,0,1,1
0277-ORXQS,0,0,1,Cable,1,1,1,0,0,0,1,0
2930-UOTMB,1,1,1,Cable,0,0,0,1,0,1,1,0
7148-XZPHA,1,0,1,Fiber Optic,0,0,0,0,1,0,1,1
6857-VWJDT,1,1,1,Fiber Optic,1,1,1,0,0,0,0,1
5917-HBSDW,1,0,0,No internet,0,0,0,0,0,0,0,0
4257-GAESD,0,0,1,Cable,1,1,1,0,0,0,0,1
0750-EKNGL,1,0,0,No internet,0,0,0,0,0,0,0,0
6952-OMNWB,1,1,1,Fiber Optic,0,0,0,0,0,1,0,1
1767-CJKBA,1,1,0,No internet,0,0,0,0,0,0,0,0
8401-EMUWF,1,1,1,Cable,1,0,0,1,1,0,0,1
6349-JDHQP,1,0,0,No internet,0,0,0,0,0,0,0,0
8591-NXRCV,1,1,1,DSL,0,1,1,1,0,1,1,0
8473-VUVJN,1,1,1,Fiber Optic,0,0,0,0,0,0,0,1
9058-CBREO,1,1,1,Cable,0,0,0,0,0,0,0,1
7138-GIRSH,1,1,1,DSL,0,1,1,0,0,1,1,1
4480-QQRHC,1,0,1,Fiber Optic,0,0,0,0,0,1,0,1
4312-GVYNH,0,0,1,Cable,0,1,1,1,0,1,1,1
3656-TKRVZ,1,0,1,DSL,0,0,1,1,1,0,0,1
8873-GLDMH,1,1,1,Fiber Optic,0,0,0,0,0,0,0,1
1591-NFNLQ,1,1,1,Fiber Optic,0,0,0,0,0,1,0,1
9143-CANJF,1,0,1,DSL,0,0,0,1,0,0,1,1
4389-UEFCZ,1,1,1,Fiber Optic,1,1,1,1,0,1,0,1
0690-SRQID,1,0,0,No internet,0,0,0,0,0,0,0,0
3587-PMCOY,1,0,1,Fiber Optic,1,1,1,1,0,1,0,1
0488-GSLFR,1,0,1,Fiber Optic,0,0,0,0,0,0,0,1
7964-VEXDG,1,1,1,Fiber Optic,0,0,0,1,0,0,0,1
5307-UVGNB,0,0,1,Cable,0,1,1,1,1,1,0,1
3733-UOCWF,1,1,1,Fiber Optic,0,0,0,0,1,0,1,1
5669-SRAIP,0,0,1,DSL,0,1,1,0,0,1,0,1
6980-CDGFC,1,0,0,No internet,0,0,0,0,0,0,0,0
4713-LZDRV,1,0,1,Cable,0,1,0,0,0,0,0,1
4114-QMKVN,1,1,1,DSL,0,1,1,1,1,0,0,0
7508-KBIMB,1,0,1,Cable,0,0,0,1,0,1,0,1
7089-RKVSZ,1,1,0,No internet,0,0,0,0,0,0,0,0
7890-VYYWG,0,0,1,DSL,1,0,0,0,0,0,0,1
3873-WOSBC,1,1,0,No internet,0,0,0,0,0,0,0,0
2833-SLKDQ,1,0,1,Cable,0,0,1,0,0,0,0,1
2983-ZANRP,1,0,1,Fiber Optic,0,0,1,0,1,0,0,1
2824-DXNKN,1,1,1,Cable,1,0,1,1,0,1,0,1
5906-BFOZT,1,0,0,No internet,0,0,0,0,0,0,0,0
7706-YLMQA,1,0,0,No internet,0,0,0,0,0,0,0,0
6198-RTPMF,1,1,1,Fiber Optic,1,1,1,0,0,0,0,1
1724-BQUHA,1,0,1,Fiber Optic,1,1,0,0,0,0,0,1
6821-JPCDC,1,0,1,Fiber Optic,1,1,1,0,1,1,0,1
5968-HYJRZ,1,1,0,No internet,0,0,0,0,0,0,0,0
8845-LWKGE,1,0,1,Cable,1,0,0,0,0,1,1,1
7872-RDDLZ,1,1,1,DSL,0,0,0,0,1,0,0,1
4741-WWJQZ,1,0,1,Fiber Optic,0,0,0,1,0,0,1,1
1219-NNDDO,1,1,1,Fiber Optic,0,0,0,0,0,0,0,1
0361-HJRDX,0,0,1,DSL,1,1,1,1,1,1,1,0
5236-PERKL,1,1,1,Fiber Optic,1,1,1,1,1,1,0,1
4971-PUYQO,1,1,1,Fiber Optic,1,1,1,0,0,0,0,1
2133-TSRRM,1,0,1,Fiber Optic,1,1,1,1,1,1,0,0
2157-MXBJS,1,1,1,Cable,1,1,1,0,0,1,0,1
7241-AJHFS,1,1,1,Fiber Optic,0,0,0,1,0,0,1,0
6521-YYTYI,1,1,1,Fiber Optic,1,1,1,0,0,0,0,1
1025-FALIX,1,0,1,Fiber Optic,0,0,0,0,0,0,0,1
3454-JFUBC,1,0,0,No internet,0,0,0,0,0,0,0,0
8218-FFJDS,1,1,1,DSL,1,1,1,1,1,0,1,1
5203-XEHAX,1,0,1,DSL,0,1,1,1,1,0,0,1
2615-YVMYX,1,1,1,Fiber Optic,1,1,0,1,1,1,0,0
4884-LEVMQ,1,0,0,No internet,0,0,0,0,0,0,0,0
