Customer ID,Referred a Friend,Number of Referrals,Offer,Contract,Tenure in Months,Quarter
9242-TKFSV,1,7,Offer A,Two Year,72,Q3
8993-PHFWD,0,0,No offer,Month-to-Month,3,Q3
6481-LXPWL,1,1,No offer,One Year,56,Q3
0547-HURJB,0,0,Offer D,Month-to-Month,12,Q3
4361-BKAXE,0,0,Offer B,Month-to-Month,41,Q3
5240-CAOYT,0,0,No offer,Month-to-Month,57,Q3
3714-XPXBW,0,0,No offer,Month-to-Month,37,Q3
6599-CEBNN,0,0,Offer C,Month-to-Month,34,Q3
9488-FYQAU,1,8,No offer,Two Year,63,Q3
8914-RBTSB,1,1,No offer,Month-to-Month,31,Q3
1963-VAUKV,0,0,Offer E,Month-to-Month,1,Q3
7217-JYHOQ,1,6,No offer,Month-to-Month,24,Q3
7657-DYEPJ,0,0,Offer C,One Year,38,Q3
9372-TXXPS,1,7,Offer B,Two Year,60,Q3
1291-CUOCY,1,7,No offer,Two Year,72,Q3
1845-CSBRZ,1,7,Offer D,Two Year,22,Q3
6647-ZEDXT,0,0,No offer,One Year,30,Q3
9058-HRZSV,1,2,No offer,One Year,65,Q3
0988-AADSA,1,5,Offer A,Two Year,72,Q3
8229-TNIQA,0,0,Offer E,Month-to-Month,4,Q3
8050-WYBND,0,0,No offer,One Year,22,Q3
9027-YFHQJ,0,0,Offer E,Month-to-Month,7,Q3
6051-PTVNS,0,0,Offer B,One Year,55,Q3
0621-CXBKL,0,0,Offer B,Two Year,53,Q3
4374-YMUSQ,0,0,Offer C,One Year,34,Q3
5438-QMDDL,1,3,No offer,Month-to-Month,19,Q3
3096-IZETN,0,0,Offer D,Month-to-Month,12,Q3
8008-ESFLK,1,1,No offer,One Year,53,Q3
5228-EXCET,0,0,No offer,Month-to-Month,13,Q3
4397-FRLTA,0,0,Offer E,Month-to-Month,4,Q3
6048-NJXHX,1,1,Offer B,Two Year,41,Q3
5982-FPVQN,1,2,No offer,Month-to-Month,37,Q3
5232-NXPAY,0,0,Offer B,Two Year,47,Q3
5129-JLPIS,0,0,No offer,Month-to-Month,25,Q3
9497-QCMMS,0,0,Offer E,Month-to-Month,1,Q3
4933-BSAIP,1,1,No offer,Two Year,40,Q3
4250-FDVOU,0,0,Offer E,Month-to-Month,6,Q3
2924-KHUVI,1,7,No offer,One Year,56,Q3
4800-CZMPC,1,1,Offer B,One Year,48,Q3
3758-CKOQL,1,7,Offer B,One Year,59,Q3
5574-NXZIU,0,0,No offer,Two Year,63,Q3
0411-EZJZE,0,0,No offer,Month-to-Month,3,Q3
2868-SNELZ,0,0,No offer,Month-to-Month,2,Q3
3359-DSRKA,1,9,Offer B,Two Year,58,Q3
1972-XMUWV,1,7,No offer,Two Year,65,Q3
2746-DIJLO,0,0,Offer B,One Year,41,Q3
6568-POCUI,1,3,No offer,Two Year,45,Q3
7394-FKDNK,1,3,Offer E,Month-to-Month,9,Q3
9114-AAFQH,1,6,Offer B,One Year,48,Q3
1099-GODLO,1,9,No offer,Two Year,1,Q3
7826-VVKWT,1,9,No offer,Two Year,24,Q3
9445-SZLCH,1,3,No offer,Month-to-Month,36,Q3
2481-SBOYW,0,0,Offer B,Two Year,61,Q3
3251-YMVWZ,0,0,Offer B,One Year,53,Q3
0319-QZTCO,1,9,Offer E,Month-to-Month,3,Q3
7873-CVMAW,0,0,No offer,Two Year,72,Q3
9507-HSMMZ,0,0,Offer B,Two Year,54,Q3
2974-GGUXS,0,0,Offer C,Month-to-Month,36,Q3
4702-IOQDC,0,0,Offer E,Month-to-Month,1,Q3
9191-MYQKX,1,1,No offer,Month-to-Month,7,Q3
5868-CZJDR,0,0,Offer E,Month-to-Month,1,Q3
7325-ENZFI,0,0,No offer,One Year,39,Q3
3858-VOBET,0,0,No offer,Month-to-Month,23,Q3
0988-JRWWP,0,0,No offer,Month-to-Month,3,Q3
0956-SYCWG,0,0,Offer D,One Year,13,Q3
0840-DFEZH,0,0,No offer,Month-to-Month,7,Q3
2979-SXESE,1,1,Offer D,Month-to-Month,17,Q3
1496-GGSUK,0,0,No offer,Month-to-Month,1,Q3
3266-FTKHB,0,0,No offer,Two Year,17,Q3
8499-BRXTD,0,0,Offer D,One Year,18,Q3
5702-SKUOB,1,1,No offer,Month-to-Month,4,Q3
5804-HYIEZ,1,1,Offer A,Month-to-Month,70,Q3
5482-VXSXJ,0,0,No offer,Month-to-Month,22,Q3
9137-UIYPG,1,1,No offer,Month-to-Month,35,Q3
8763-KIAFH,1,10,No offer,One Year,27,Q3
6131-IUNXN,1,6,No offer,Month-to-Month,19,Q3
8063-RJYNF,0,0,No offer,Month-to-Month,16,Q3
5146-CBVOE,0,0,No offer,Month-to-Month,16,Q3
0114-IGABW,1,2,Offer A,Two Year,71,Q3
4452-QIIEB,0,0,Offer E,Month-to-Month,7,Q3
2885-HIJDH,1,9,No offer,Two Year,69,Q3
3370-HXOPH,0,0,No offer,Month-to-Month,3,Q3
0508-OOLTO,1,5,No offer,Month-to-Month,2,Q3
5680-LQOGP,0,0,Offer A,Two Year,68,Q3
3192-LNKRK,1,10,No offer,Month-to-Month,34,Q3
2634-HCZGT,1,1,No offer,One Year,53,Q3
5049-MUBWG,0,0,No offer,One Year,26,Q3
3538-WZPHD,0,0,Offer E,Month-to-Month,3,Q3
4430-YHXGG,0,0,Offer E,Month-to-Month,4,Q3
7207-RMRDB,1,7,No offer,Month-to-Month,65,Q3
2150-UWTFY,1,1,Offer D,Month-to-Month,22,Q3
3090-QFUVD,0,0,No offer,Month-to-Month,1,Q3
3978-YNKDD,0,0,No offer,Two Year,19,Q3
2181-UAESM,0,0,No offer,Month-to-Month,2,Q3
9725-SCPZG,0,0,Offer E,Month-to-Month,1,Q3
9578-VRMNM,0,0,No offer,Month-to-Month,16,Q3
0562-FGDCR,1,9,No offer,Two Year,72,Q3
3913-FCUUW,1,8,Offer A,Two Year,72,Q3
1936-CZAKF,1,8,No offer,Two Year,49,Q3
6496-JDSSB,0,0,No offer,Month-to-Month,8,Q3
7014-ZZXAW,1,1,No offer,Two Year,71,Q3
2927-QRRQV,1,1,Offer B,One Year,46,Q3
5156-UMKOW,0,0,No offer,Month-to-Month,3,Q3
5180-UCIIQ,1,5,No offer,Month-to-Month,22,Q3
2085-JVGAD,1,3,No offer,Month-to-Month,37,Q3
2758-RNWXS,0,0,Offer C,One Year,35,Q3
1310-QRITU,0,0,No offer,Month-to-Month,18,Q3
5339-TJFEK,1,8,Offer B,Month-to-Month,62,Q3
2484-DGXPZ,1,1,No offer,Month-to-Month,31,Q3
4316-XCSLJ,0,0,No offer,Month-to-Month,17,Q3
0641-EVBOJ,0,0,No offer,Month-to-Month,3,Q3
8966-KZXXA,1,9,No offer,Two Year,36,Q3
5405-ZMYXQ,0,0,Offer E,Month-to-Month,8,Q3
3810-PJUHR,1,6,Offer A,Two Year,70,Q3
9053-JZFKV,0,0,Offer A,Two Year,67,Q3
5261-QSHQM,0,0,Offer E,Month-to-Month,4,Q3
4373-MAVJG,1,1,Offer D,Month-to-Month,14,Q3
3312-UUMZW,1,3,No offer,Month-to-Month,32,Q3
2220-IAHLS,0,0,No offer,Month-to-Month,1,Q3
2428-ZMCTB,0,0,Offer D,Month-to-Month,10,Q3
5175-WLYXL,0,0,Offer D,Month-to-Month,22,Q3
6870-ZWMNX,1,4,Offer A,Two Year,70,Q3
2984-TBYKU,1,6,Offer A,Two Year,72,Q3
3223-DWFIO,0,0,No offer,Two Year,4,Q3
5753-QQWPW,0,0,Offer C,One Year,28,Q3
9337-SRRNI,0,0,Offer A,Two Year,66,Q3
8710-YGLWG,0,0,Offer E,Month-to-Month,1,Q3
0404-SWRVG,0,0,Offer E,Month-to-Month,3,Q3
3213-VVOLG,1,3,No offer,Two Year,10,Q3
6508-NJYRO,1,5,No offer,One Year,15,Q3
9286-BHDQG,1,11,Offer A,Two Year,72,Q3
0784-ZQJZX,0,0,No offer,Two Year,72,Q3
1661-CZBAU,0,0,Offer B,One Year,48,Q3
4847-QNOKA,0,0,Offer E,Month-to-Month,1,Q3
5294-DMSFH,1,1,No offer,Month-to-Month,29,Q3
9614-RMGHA,0,0,No offer,Month-to-Month,65,Q3
5652-MSDEY,0,0,No offer,Month-to-Month,10,Q3
8869-LIHMK,0,0,No offer,Two Year,64,Q3
4304-XUMGI,1,3,No offer,Two Year,50,Q3
7541-YLXCL,0,0,No offer,One Year,36,Q3
8878-RYUKI,0,0,No offer,Month-to-Month,52,Q3
3373-DIUUN,1,6,No offer,Two Year,30,Q3
9708-KFDBY,0,0,Offer E,Month-to-Month,1,Q3
7931-PXHFC,0,0,No offer,One Year,38,Q3
8898-KASCD,0,0,No offer,One Year,39,Q3
8984-HPEMB,0,0,Offer A,Two Year,71,Q3
2777-PHDEI,0,0,No offer,Month-to-Month,1,Q3
3976-HXHCE,0,0,No offer,Two Year,72,Q3
8149-AIQCG,0,0,Offer C,Month-to-Month,39,Q3
3148-BLQJT,0,0,Offer E,Month-to-Month,1,Q3
7601-DHFWZ,0,0,Offer B,Two Year,48,Q3
4654-DLAMQ,1,9,No offer,One Year,64,Q3
2928-HLDBA,0,0,Offer E,Month-to-Month,6,Q3
8232-CTLKO,1,9,Offer A,Two Year,66,Q3
4472-LVYGI,1,2,No offer,Two Year,10,Q3
1965-AKTSX,0,0,Offer D,Month-to-Month,14,Q3
2070-FNEXE,0,0,Offer E,Month-to-Month,7,Q3
1698-XFZCI,0,0,Offer B,One Year,61,Q3
0402-OAMEN,1,4,Offer A,Two Year,72,Q3
0640-YJTPY,1,3,Offer A,Two Year,72,Q3
1866-OBPNR,1,5,No offer,Month-to-Month,1,Q3
3874-EQOEP,0,0,Offer E,Month-to-Month,7,Q3
1641-RQDAY,1,1,Offer C,One Year,32,Q3
6242-FEGFD,1,5,No offer,Two Year,66,Q3
4010-YLMVT,0,0,Offer B,Month-to-Month,56,Q3
8544-JNBOX,0,0,Offer A,Two Year,72,Q3
4510-PYUSH,0,0,No offer,Month-to-Month,38,Q3
3059-NGMXB,1,8,Offer D,Month-to-Month,14,Q3
2545-EBUPK,0,0,Offer E,Two Year,2,Q3
8974-OVACP,0,0,No offer,Month-to-Month,1,Q3
0923-PNFUB,0,0,Offer E,Month-to-Month,3,Q3
6369-MCAKO,1,4,Offer A,Two Year,68,Q3
9003-CPATH,0,0,No offer,Month-to-Month,42,Q3
6631-HMANX,1,10,No offer,Two Year,72,Q3
3512-IZIKN,1,1,Offer A,Two Year,70,Q3
7056-IMHCC,1,1,Offer B,Month-to-Month,53,Q3
7548-SEPYI,0,0,Offer E,Month-to-Month,5,Q3
3137-LUPIX,0,0,No offer,Month-to-Month,4,Q3
7595-EUIVN,0,0,No offer,Month-to-Month,1,Q3
7184-LRUUR,0,0,No offer,One Year,22,Q3
9140-CZQZZ,1,7,Offer A,Two Year,68,Q3
6551-VLJMV,1,6,Offer C,Two Year,34,Q3
0489-WMEMG,0,0,Offer D,One Year,23,Q3
8690-ZVLCL,1,10,No offer,Two Year,68,Q3
1091-SOZGA,1,1,No offer,One Year,56,Q3
4283-FUTGF,0,0,No offer,Month-to-Month,19,Q3
5394-MEITZ,1,5,No offer,Two Year,60,Q3
2848-YXSMW,1,1,Offer A,Two Year,72,Q3
2511-ALLCS,1,5,No offer,Two Year,35,Q3
3391-JSQEW,1,7,No offer,Month-to-Month,40,Q3
4512-ZUIYL,0,0,Offer E,Month-to-Month,2,Q3
5906-CVLHP,1,1,No offer,One Year,45,Q3
0277-ORXQS,1,9,Offer A,Two Year,66,Q3
2930-UOTMB,0,0,Offer C,Month-to-Month,31,Q3
7148-XZPHA,1,9,No offer,Month-to-Month,55,Q3
6857-VWJDT,0,0,Offer E,Month-to-Month,1,Q3
5917-HBSDW,1,1,No offer,Month-to-Month,37,Q3
4257-GAESD,0,0,Offer E,Month-to-Month,6,Q3
0750-EKNGL,0,0,Offer E,Month-to-Month,7,Q3
6952-OMNWB,1,7,Offer A,One Year,68,Q3
1767-CJKBA,0,0,Offer A,Two Year,66,Q3
8401-EMUWF,1,10,Offer B,Month-to-Month,42,Q3
6349-JDHQP,0,0,No offer,Two Year,53,Q3
8591-NXRCV,0,0,Offer B,Month-to-Month,41,Q3
8473-VUVJN,0,0,No offer,Month-to-Month,1,Q3
9058-CBREO,0,0,No offer,Month-to-Month,1,Q3
7138-GIRSH,0,0,No offer,Two Year,50,Q3
4480-QQRHC,0,0,No offer,Two Year,8,Q3
4312-GVYNH,1,8,No offer,Two Year,70,Q3
3656-TKRVZ,0,0,No offer,Month-to-Month,3,Q3
8873-GLDMH,0,0,No offer,Month-to-Month,6,Q3
1591-NFNLQ,0,0,No offer,Month-to-Month,51,Q3
9143-CANJF,1,7,No offer,Month-to-Month,24,Q3
4389-UEFCZ,0,0,No offer,Two Year,72,Q3
0690-SRQID,0,0,Offer E,Month-to-Month,4,Q3
3587-PMCOY,0,0,Offer D,One Year,10,Q3
0488-GSLFR,0,0,No offer,Month-to-Month,1,Q3
7964-VEXDG,0,0,Offer D,Month-to-Month,21,Q3
5307-UVGNB,1,5,No offer,Month-to-Month,53,Q3
3733-UOCWF,1,5,Offer B,One Year,61,Q3
5669-SRAIP,0,0,Offer E,Month-to-Month,5,Q3
6980-CDGFC,1,5,Offer A,One Year,67,Q3
4713-LZDRV,0,0,Offer E,Month-to-Month,2,Q3
4114-QMKVN,1,7,No offer,One Year,56,Q3
7508-KBIMB,1,7,No offer,One Year,24,Q3
7089-RKVSZ,1,6,No offer,One Year,8,Q3
7890-VYYWG,1,1,Offer E,Month-to-Month,3,Q3
3873-WOSBC,1,1,Offer A,Two Year,67,Q3
2833-SLKDQ,0,0,No offer,Month-to-Month,1,Q3
2983-ZANRP,1,1,No offer,Month-to-Month,2,Q3
2824-DXNKN,1,8,Offer A,Two Year,72,Q3
5906-BFOZT,0,0,No offer,Month-to-Month,1,Q3
7706-YLMQA,0,0,No offer,One Year,70,Q3
6198-RTPMF,1,10,Offer D,Month-to-Month,17,Q3
1724-BQUHA,0,0,No offer,Month-to-Month,5,Q3
6821-JPCDC,1,4,No offer,One Year,48,Q3
5968-HYJRZ,1,3,Offer B,Two Year,47,Q3
8845-LWKGE,1,4,Offer C,One Year,30,Q3
7872-RDDLZ,0,0,No offer,Month-to-Month,67,Q3
4741-WWJQZ,0,0,Offer E,Month-to-Month,2,Q3
1219-NNDDO,0,0,Offer E,Month-to-Month,9,Q3
0361-HJRDX,0,0,Offer A,Two Year,68,Q3
5236-PERKL,0,0,No offer,Two Year,57,Q3
4971-PUYQO,0,0,No offer,Month-to-Month,27,Q3
2133-TSRRM,0,0,No offer,Month-to-Month,34,Q3
2157-MXBJS,1,1,Offer D,One Year,13,Q3
7241-AJHFS,0,0,No offer,Month-to-Month,32,Q3
6521-YYTYI,0,0,Offer E,Month-to-Month,1,Q3
1025-FALIX,0,0,No offer,Month-to-Month,26,Q3
3454-JFUBC,0,0,Offer A,Two Year,68,Q3
8218-FFJDS,1,6,No offer,Two Year,72,Q3
5203-XEHAX,0,0,No offer,One Year,34,Q3
2615-YVMYX,1,7,No offer,Month-to-Month,71,Q3
4884-LEVMQ,1,10,Offer C,Two Year,39,Q3
4918-QLLIW,0,0,No offer,Month-to-Month,3,Q3
2378-HTWFW,0,0,No offer,Month-to-Month,35,Q3
0082-OQIQY,0,0,No offer,Month-to-Month,29,Q3
3900-AQPHZ,0,0,No offer,Month-to-Month,1,Q3
2004-OCQXK,0,0,Offer E,Month-to-Month,1,Q3
3324-OIRTO,1,1,Offer A,One Year,71,Q3
6582-PLFUU,1,1,Offer B,Two Year,51,Q3
0440-MOGPM,0,0,No offer,One Year,41,Q3
1809-DMJHQ,0,0,No offer,Month-to-Month,5,Q3
2065-MMKGR,0,0,No offer,One Year,29,Q3
7026-YMSBE,0,0,No offer,One Year,30,Q3
5997-OPVFA,1,7,Offer A,Two Year,72,Q3
3920-HIHMQ,0,0,No offer,Month-to-Month,26,Q3
5019-GQVCR,0,0,No offer,Two Year,43,Q3
1208-NBVFH,1,5,No offer,Month-to-Month,20,Q3
0725-CXOTM,0,0,No offer,One Year,36,Q3
7975-TZMLR,0,0,No offer,One Year,47,Q3
7180-PISOG,0,0,No offer,Month-to-Month,1,Q3
8624-GIOUT,0,0,Offer B,Month-to-Month,49,Q3
2878-RMWXY,1,5,No offer,Two Year,72,Q3
0347-UBKUZ,0,0,No offer,Month-to-Month,15,Q3
7005-CYUIL,1,2,Offer A,Two Year,71,Q3
2025-JKFWI,0,0,No offer,Month-to-Month,13,Q3
6092-QZVPP,0,0,Offer C,Month-to-Month,36,Q3
6202-JVYEU,0,0,No offer,One Year,9,Q3
4720-VSTSI,0,0,No offer,Month-to-Month,44,Q3
1663-MHLHE,0,0,No offer,Month-to-Month,1,Q3
5325-UWTWJ,1,4,Offer C,Month-to-Month,31,Q3
4139-DETXS,0,0,Offer A,Two Year,72,Q3
1100-DDVRV,1,1,No offer,Month-to-Month,17,Q3
2186-QZEYA,0,0,Offer C,Two Year,29,Q3
5366-IJEQJ,0,0,Offer D,Month-to-Month,20,Q3
9670-BPNXF,0,0,Offer B,One Year,45,Q3
4667-QONEA,1,9,Offer B,One Year,60,Q3
3721-WKIIL,0,0,No offer,Two Year,27,Q3
1395-WSWXR,0,0,No offer,Two Year,24,Q3
1218-VKFPE,1,1,Offer D,Month-to-Month,12,Q3
2984-AFWNC,0,0,No offer,Month-to-Month,3,Q3
1506-YJTYT,1,9,Offer B,Two Year,45,Q3
0516-WJVXC,0,0,No offer,Month-to-Month,5,Q3
1075-BGWOH,1,1,No offer,Month-to-Month,16,Q3
1097-FSPVW,0,0,Offer B,Month-to-Month,42,Q3
9962-BFPDU,1,3,No offer,Month-to-Month,1,Q3
0524-IAVZO,1,1,Offer C,Month-to-Month,30,Q3
1257-SXUXQ,1,10,No offer,Month-to-Month,5,Q3
5027-XWQHA,0,0,No offer,Month-to-Month,6,Q3
2716-GFZOR,1,10,Offer B,Month-to-Month,43,Q3
2674-MLXMN,0,0,Offer A,Two Year,71,Q3
5995-OIGLP,0,0,No offer,Month-to-Month,12,Q3
4227-OJHAL,1,8,No offer,One Year,68,Q3
1757-TCATG,1,4,Offer C,One Year,35,Q3
6979-ZNSFF,0,0,Offer E,Month-to-Month,8,Q3
1393-IMKZG,0,0,No offer,Month-to-Month,1,Q3
0727-BMPLR,0,0,No offer,One Year,55,Q3
2962-XPMCQ,0,0,Offer E,Month-to-Month,2,Q3
4693-VWVBO,0,0,No offer,Month-to-Month,3,Q3
5597-GLBUC,0,0,Offer E,Month-to-Month,1,Q3
4813-HQMGZ,1,4,Offer E,Month-to-Month,8,Q3
7752-XUSCI,0,0,No offer,Month-to-Month,60,Q3
1077-HUUJM,0,0,Offer E,Month-to-Month,7,Q3
2057-BOYKM,1,10,No offer,Two Year,72,Q3
7945-PRBVF,0,0,No offer,Two Year,35,Q3
8224-KDLKN,1,3,Offer A,Two Year,72,Q3
2988-PLAHS,0,0,Offer E,One Year,3,Q3
1015-JPFYW,0,0,No offer,One Year,7,Q3
7175-NTIXE,0,0,No offer,Month-to-Month,25,Q3
7853-WNZSY,0,0,Offer E,Month-to-Month,1,Q3
0913-XWSCN,1,1,Offer B,Month-to-Month,55,Q3
6637-KYRCV,1,1,No offer,Month-to-Month,5,Q3
2272-QAGFO,0,0,No offer,Month-to-Month,14,Q3
3460-TJBWI,1,1,No offer,Two Year,24,Q3
7838-LAZFO,1,6,Offer B,One Year,45,Q3
5442-BHQNG,0,0,No offer,Month-to-Month,2,Q3
1459-QNFQT,1,7,Offer A,Two Year,70,Q3
3836-FZSDJ,0,0,Offer A,Two Year,71,Q3
9885-AIBVB,1,4,No offer,Month-to-Month,29,Q3
1131-QQZEB,1,7,Offer A,Two Year,71,Q3
5014-WUQMG,1,1,Offer B,One Year,47,Q3
5834-ASPWA,0,0,No offer,Month-to-Month,1,Q3
1513-XNPPH,0,0,Offer D,Month-to-Month,12,Q3
2834-SPCJV,1,1,No offer,Month-to-Month,52,Q3
5018-HEKFO,0,0,Offer D,Month-to-Month,10,Q3
6967-QIQRV,1,8,No offer,One Year,15,Q3
3863-QSTYI,0,0,No offer,Month-to-Month,59,Q3
3967-KXAPS,1,5,Offer A,Two Year,72,Q3
0678-RLHVP,0,0,Offer B,Two Year,53,Q3
7928-VJYAB,1,9,Offer D,Month-to-Month,11,Q3
6695-FRVEC,1,1,No offer,Two Year,67,Q3
9067-YGSCA,0,0,No offer,One Year,70,Q3
