Customer ID,Monthly Charge,Total Charges,Total Revenue,Total Refunds,Total Long Distance Charges,Total Extra Data Charges,Avg Monthly GB Download,Avg Monthly Long Distance Charges,CLTV,Payment Method,Paperless Billing
2277-AXSDC,19.75,624.15,2025.75,0.0,1401.6,0,0,43.8,4691,Bank Withdrawal,0
1928-BXYIV,61.15,61.15,78.22,0.0,17.07,0,3,17.07,4592,Bank Withdrawal,0
7326-RIGQZ,69.8,377.85,608.85,0.0,231.0,0,20,38.5,2651,Bank Withdrawal,1
8634-MPHTR,100.05,4871.05,5292.64,0.0,421.59,0,19,8.97,5166,Bank Withdrawal,1
0064-SUDOG,20.3,224.5,455.86,0.0,231.36,0,0,19.28,5190,Bank Withdrawal,0
6972-SNKKW,20.0,109.2,393.96,0.0,284.76,0,0,47.46,3142,Mailed Check,0
3877-JRJIP,59.85,59.85,81.9,0.0,22.05,0,28,22.05,4017,Bank Withdrawal,1
7409-KIUTL,71.0,71.0,99.64,0.0,28.64,0,5,28.64,5345,Bank Withdrawal,1
3951-NJCVI,95.05,3944.5,5820.68,0.0,1776.18,100,10,42.29,2677,Bank Withdrawal,1
8285-ABVLB,19.85,1328.35,4158.76,33.29,2863.7,0,0,40.91,4311,Credit Card,0
0637-KVDLV,76.5,162.45,196.89,0.0,34.44,0,30,17.22,5944,Bank Withdrawal,1
0260-ZDLGK,72.9,651.4,970.81,0.0,319.41,0,11,35.49,3585,Credit Card,1
1548-ARAGG,58.5,224.85,365.65,0.0,140.8,0,52,35.2,5605,Credit Card,1
1987-AUELQ,25.05,1873.7,5057.34,0.0,3183.64,0,0,44.84,6334,Credit Card,0
2684-EIWEO,91.7,2758.15,4134.55,0.0,1376.4,0,19,45.88,2482,Credit Card,0
1027-LKKQQ,80.45,5886.85,6819.97,0.0,933.12,0,56,12.96,4480,Bank Withdrawal,1
3717-OEAUQ,70.7,129.2,144.64,0.0,5.44,10,14,2.72,2388,Credit Card,0
7033-CLAMM,20.2,1027.25,1921.97,0.0,894.72,0,0,18.64,3828,Bank Withdrawal,0
1143-NMNQJ,85.7,169.8,197.94,0.0,28.14,0,6,14.07,2187,Bank Withdrawal,1
6839-ITVZJ,60.05,1616.15,2196.73,0.0,580.58,0,13,22.33,2039,Bank Withdrawal,1
8082-GHXOP,44.0,659.35,1005.54,0.0,346.19,0,27,26.63,5611,Credit Card,0
3569-VLDHH,75.1,5013.0,6960.0,0.0,1947.0,0,76,29.5,6123,Bank Withdrawal,1
3061-BCKYI,19.9,283.75,892.75,0.0,609.0,0,0,43.5,3854,Credit Card,0
6424-ELEYH,74.75,229.5,335.04,0.0,105.54,0,13,35.18,3972,Credit Card,1
9018-PCIOK,64.75,3617.1,5102.1,0.0,1485.0,0,20,27.0,4634,Mailed Check,1
3256-EZDBI,29.45,1459.35,1459.35,0.0,0.0,0,21,0.0,6285,Credit Card,1
3249-VHRIP,43.6,2748.7,2748.7,0.0,0.0,0,30,0.0,4507,Credit Card,1
2921-XWDJH,83.45,3147.15,3252.13,24.98,129.96,0,15,3.42,2768,Bank Withdrawal,1
5456-ITGIC,64.45,4641.1,4641.1,0.0,0.0,0,9,0.0,5295,Credit Card,1
7971-HLVXI,84.5,6130.85,9298.85,0.0,3168.0,0,20,44.0,6202,Credit Card,1
3662-FXJFO,20.5,1035.7,1620.52,0.0,584.82,0,0,10.83,5946,Credit Card,1
7779-LGOVN,86.65,856.65,1321.65,0.0,465.0,0,4,46.5,4990,Bank Withdrawal,1
2480-EJWYP,97.8,5458.8,8090.26,0.0,2631.46,0,28,45.37,6019,Bank Withdrawal,1
7544-ZVIKX,105.05,6004.85,7966.41,0.0,1961.56,0,10,33.82,5870,Bank Withdrawal,1
6257-RJOHI,50.8,202.3,209.82,0.0,7.52,0,21,1.88,4521,Credit Card,1
2011-TRQYE,33.5,600.0,600.0,0.0,0.0,0,26,0.0,5474,Credit Card,1
5789-LDFXO,24.6,592.65,1728.57,0.0,1135.92,0,0,47.33,5448,Bank Withdrawal,0
6352-GIGGQ,88.8,5903.15,8403.59,0.0,2500.44,0,59,37.32,4081,Bank Withdrawal,1
6807-SIWJI,104.85,3887.25,4052.17,0.0,164.92,0,26,4.34,2709,Bank Withdrawal,1
0426-TIRNE,20.9,20.9,36.41,0.0,15.51,0,0,15.51,5527,Credit Card,0
4291-TPNFG,82.3,5980.55,8229.43,0.0,2108.88,140,30,29.29,5219,Bank Withdrawal,1
3746-EUBYR,74.6,74.6,119.33,0.0,44.73,0,3,44.73,5861,Bank Withdrawal,1
9362-MWODR,64.1,2460.35,3265.55,0.0,805.2,0,10,20.13,5056,Credit Card,1
7321-ZNSLA,40.55,590.35,590.35,0.0,0.0,0,57,0.0,2898,Credit Card,0
0565-JUPYD,104.5,6590.8,7942.15,0.0,1351.35,0,85,21.45,4908,Credit Card,0
8336-TAVKX,78.45,5682.25,6821.29,0.0,1139.04,0,13,15.82,4032,Bank Withdrawal,0
3086-RUCRN,103.1,6595.0,9442.24,0.0,2847.24,0,20,43.14,6183,Bank Withdrawal,1
3745-HRPHI,54.65,3632.0,3585.25,46.75,0.0,0,28,0.0,4051,Bank Withdrawal,0
9928-BZVLZ,49.85,552.1,552.1,0.0,0.0,0,7,0.0,3100,Credit Card,0
0674-GCDXG,71.9,4479.2,7162.37,0.0,2683.17,0,85,42.59,5816,Bank Withdrawal,1
9027-TMATR,78.8,3460.3,5092.19,24.9,1656.79,0,27,38.53,3972,Bank Withdrawal,1
4910-AQFFX,79.35,661.25,956.28,0.0,285.03,10,59,31.67,4533,Bank Withdrawal,1
3736-BLEPA,91.25,2483.65,2866.97,0.0,383.32,0,12,13.69,2886,Bank Withdrawal,1
9220-CXRSC,61.4,4059.85,6755.68,0.0,2695.83,0,19,39.07,5266,Credit Card,0
2452-KDRRH,101.4,6841.05,9444.0,0.0,2602.95,0,19,38.85,5269,Credit Card,1
7471-WNSUF,24.15,1505.9,2491.1,0.0,985.2,0,0,16.42,4501,Bank Withdrawal,0
9992-UJOEL,50.3,92.75,129.99,0.0,37.24,0,51,18.62,5870,Credit Card,1
5204-QZXPU,39.65,733.35,733.35,0.0,0.0,0,21,0.0,2933,Bank Withdrawal,1
9481-SFCQY,59.8,824.85,1442.81,0.0,617.96,0,24,44.14,5962,Credit Card,1
1247-QBVSH,50.2,2169.4,2798.92,0.0,629.52,0,19,14.64,5284,Mailed Check,0
6478-HRRCZ,70.5,2201.75,3624.15,0.0,1422.4,0,6,44.45,5870,Credit Card,0
9838-BFCQT,26.1,1851.45,4293.69,0.0,2442.24,0,0,33.92,5475,Credit Card,0
7268-IGMFD,93.9,1743.9,1778.46,0.0,34.56,0,25,1.92,3728,Bank Withdrawal,0
0750-EBAIU,91.25,4738.3,6366.42,0.0,1628.12,0,12,31.31,4770,Bank Withdrawal,0
0428-AXXLJ,19.5,516.3,605.8,0.0,89.5,0,0,3.58,4761,Bank Withdrawal,1
5820-PTRYM,68.45,4014.0,5515.92,0.0,1501.92,0,18,26.82,4368,Credit Card,1
3234-VKACU,70.3,132.4,179.44,0.0,47.04,0,48,23.52,4799,Bank Withdrawal,0
5309-TAIKL,62.8,418.3,476.33,0.0,58.03,0,21,8.29,4080,Bank Withdrawal,0
6834-NXDCA,23.9,300.8,300.8,0.0,0.0,0,53,0.0,2967,Bank Withdrawal,1
4622-YNKIJ,88.95,3027.65,4599.77,0.0,1572.12,0,18,47.64,5087,Bank Withdrawal,1
1169-SAOCL,106.65,5168.1,6401.58,0.0,1103.48,130,25,22.52,5154,Bank Withdrawal,1
9391-EOYLI,80.45,950.2,1033.84,0.0,83.64,0,19,6.97,5374,Bank Withdrawal,1
0330-BGYZE,102.5,6157.6,7310.8,0.0,1153.2,0,4,19.22,4968,Bank Withdrawal,0
5067-WJEUN,54.2,3838.2,4578.5,0.0,730.3,10,26,10.9,6005,Bank Withdrawal,1
8329-UTMVM,104.65,2964.0,3892.53,0.0,928.53,0,19,34.39,3104,Bank Withdrawal,1
9448-REEVD,44.7,44.7,76.78,0.0,32.08,0,73,32.08,3700,Credit Card,0
3411-WLRSQ,74.6,239.05,387.58,0.0,118.53,30,17,39.51,3711,Bank Withdrawal,1
5131-PONJI,90.4,4494.65,5069.91,0.0,575.26,0,20,11.74,5804,Credit Card,1
3312-ZWLGF,79.3,2414.55,2720.5,0.0,305.95,0,2,10.55,3172,Bank Withdrawal,1
4079-VTGLK,74.85,2181.75,3396.75,0.0,1215.0,0,8,40.5,5610,Bank Withdrawal,0
7858-GTZSP,86.55,1066.9,1401.9,0.0,225.0,110,25,18.75,2061,Bank Withdrawal,1
2639-UGMAZ,56.45,3985.35,3985.35,0.0,0.0,0,20,0.0,5372,Bank Withdrawal,1
2750-BJLSB,103.7,4730.6,4845.75,0.0,115.15,0,13,2.45,4543,Bank Withdrawal,1
1732-FEKLD,94.75,5121.75,7224.85,0.0,2033.1,70,30,37.65,5665,Bank Withdrawal,1
4659-NZRUF,95.15,1789.25,2533.78,0.0,624.53,120,17,32.87,5830,Bank Withdrawal,1
4013-GUXND,20.8,20.8,68.94,0.0,48.14,0,0,48.14,3678,Credit Card,0
7668-XCFYV,92.55,1614.7,1679.81,0.0,65.11,0,20,3.83,3689,Bank Withdrawal,1
8651-ENBZX,106.0,6441.4,8614.8,0.0,2063.4,110,17,34.39,5507,Bank Withdrawal,1
6981-TDRFT,54.3,2317.1,2327.1,0.0,0.0,10,69,0.0,3423,Bank Withdrawal,1
7765-LWVVH,95.1,6843.15,8192.43,0.0,1349.28,0,19,18.74,5584,Bank Withdrawal,1
7696-CFTAT,19.8,726.1,1029.87,0.0,303.77,0,0,8.21,2745,Bank Withdrawal,0
4611-ANLQC,50.05,2911.5,2911.5,0.0,0.0,0,4,0.0,5493,Bank Withdrawal,0
7129-CAKJW,80.05,1345.65,2109.97,0.0,764.32,0,29,44.96,3443,Bank Withdrawal,0
2397-BRLOM,80.45,583.45,799.37,0.0,215.92,0,2,26.99,3443,Credit Card,1
3197-NNYNB,105.1,6631.85,8435.6,0.0,1803.75,0,30,27.75,5649,Credit Card,0
0139-IVFJG,90.35,190.5,199.8,0.0,9.3,0,53,4.65,5361,Bank Withdrawal,0
5167-GBFRE,25.2,102.5,102.5,0.0,0.0,0,19,0.0,4694,Bank Withdrawal,1
3070-DVEYC,73.75,545.15,771.95,0.0,226.8,0,7,32.4,5638,Credit Card,0
0396-HUJBP,19.3,44.4,144.22,0.0,99.82,0,0,49.91,3009,Credit Card,0
0813-TAXXS,77.8,4323.35,5769.85,0.0,1446.5,0,23,26.3,6483,Bank Withdrawal,1
0811-GSDTP,30.15,382.2,392.2,0.0,0.0,10,19,0.0,3540,Bank Withdrawal,0
9522-BNTHX,56.25,1765.95,1765.95,0.0,0.0,0,28,0.0,5597,Bank Withdrawal,1
9242-TKFSV,65.1,4754.3,4754.3,0.0,0.0,0,15,0.0,4969,Credit Card,1
8993-PHFWD,25.25,58.9,58.9,0.0,0.0,0,27,0.0,2088,Bank Withdrawal,0
6481-LXPWL,36.1,1971.5,2031.5,0.0,0.0,60,28,0.0,5092,Credit Card,1
0547-HURJB,21.05,235.8,468.36,0.0,232.56,0,0,19.38,4001,Credit Card,0
4361-BKAXE,114.5,4527.45,5411.41,0.0,883.96,0,59,21.56,3038,Bank Withdrawal,1
5240-CAOYT,87.55,4884.85,6494.41,1.83,1611.39,0,41,28.27,4882,Bank Withdrawal,1
3714-XPXBW,78.9,2976.95,4576.12,0.0,1569.17,30,4,42.41,3801,Credit Card,1
6599-CEBNN,73.95,2524.45,2577.15,0.0,52.7,0,14,1.55,5795,Credit Card,1
9488-FYQAU,109.25,6841.4,7513.61,0.0,672.21,0,23,10.67,5700,Bank Withdrawal,1
8914-RBTSB,93.8,3019.5,3135.22,0.0,65.72,50,17,2.12,4115,Bank Withdrawal,0
1963-VAUKV,20.4,20.4,42.52,0.0,22.12,0,0,22.12,3663,Mailed Check,0
7217-JYHOQ,70.3,1706.45,2776.13,0.0,1069.68,0,26,44.57,3359,Credit Card,1
7657-DYEPJ,70.15,2497.35,2715.85,0.0,218.5,0,30,5.75,2645,Credit Card,1
9372-TXXPS,59.85,3483.45,5967.45,0.0,2484.0,0,21,41.4,4029,Bank Withdrawal,0
1291-CUOCY,110.6,7962.2,8273.24,0.0,311.04,0,18,4.32,5444,Credit Card,1
1845-CSBRZ,85.35,1961.6,2845.78,0.0,884.18,0,27,40.19,2656,Bank Withdrawal,0
6647-ZEDXT,110.45,3327.05,3721.85,0.0,394.8,0,27,13.16,4983,Credit Card,0
9058-HRZSV,94.4,6126.15,8616.95,0.0,2490.8,0,25,38.32,5348,Bank Withdrawal,0
0988-AADSA,80.85,5824.75,6534.59,0.0,699.84,10,15,9.72,6317,Bank Withdrawal,0
8229-TNIQA,45.3,196.95,356.55,0.0,159.6,0,20,39.9,3443,Credit Card,1
8050-WYBND,49.45,1031.4,1031.4,0.0,0.0,0,29,0.0,5941,Credit Card,1
9027-YFHQJ,25.05,152.95,468.86,0.0,315.91,0,0,45.13,4868,Bank Withdrawal,1
6051-PTVNS,19.15,998.1,2521.6,0.0,1523.5,0,0,27.7,5390,Credit Card,0
0621-CXBKL,18.7,1005.7,1552.66,0.0,546.96,0,0,10.32,4116,Mailed Check,0
4374-YMUSQ,116.25,3899.05,4660.99,0.0,761.94,0,13,22.41,4022,Credit Card,0
5438-QMDDL,59.8,1130.85,1288.55,0.0,157.7,0,48,8.3,3652,Credit Card,1
3096-IZETN,78.1,947.3,1457.9,0.0,510.6,0,18,42.55,4741,Bank Withdrawal,0
8008-ESFLK,110.5,5835.5,6189.54,0.0,354.04,0,25,6.68,4135,Bank Withdrawal,0
5228-EXCET,80.85,1008.7,1171.72,0.0,163.02,0,20,12.54,5964,Bank Withdrawal,1
4397-FRLTA,20.15,84.5,214.66,0.0,130.16,0,0,32.54,5535,Credit Card,0
6048-NJXHX,19.75,899.45,2353.31,0.0,1453.86,0,0,35.46,2011,Bank Withdrawal,1
5982-FPVQN,95.15,3532.85,5050.96,0.0,1518.11,0,15,41.03,3407,Bank Withdrawal,1
5232-NXPAY,74.45,3510.3,3673.39,0.0,163.09,0,12,3.47,3459,Credit Card,0
5129-JLPIS,105.5,2686.05,2946.05,0.0,260.0,0,48,10.4,5822,Bank Withdrawal,1
9497-QCMMS,93.55,93.55,123.72,0.0,30.17,0,6,30.17,5536,Bank Withdrawal,1
4933-BSAIP,19.1,780.1,1989.3,45.6,1254.8,0,0,31.37,2056,Credit Card,0
4250-FDVOU,56.25,389.1,492.18,0.0,103.08,0,22,17.18,4110,Bank Withdrawal,0
2924-KHUVI,100.55,5514.95,8141.35,0.0,2626.4,0,48,46.9,4847,Bank Withdrawal,1
4800-CZMPC,103.25,5037.55,5342.83,0.0,305.28,0,47,6.36,4736,Credit Card,1
3758-CKOQL,107.0,6152.3,8580.15,0.0,2427.85,0,48,41.15,4620,Credit Card,1
5574-NXZIU,109.2,7049.75,7877.57,0.0,827.82,0,17,13.14,4273,Credit Card,0
0411-EZJZE,60.25,170.5,300.8,0.0,60.3,70,29,20.1,4830,Bank Withdrawal,1
2868-SNELZ,80.6,155.8,166.44,0.0,10.64,0,20,5.32,2683,Credit Card,0
3359-DSRKA,19.85,1158.85,1843.83,0.0,684.98,0,0,11.81,6440,Credit Card,1
1972-XMUWV,59.8,3808.2,4473.15,0.0,664.95,0,14,10.23,6034,Credit Card,1
2746-DIJLO,56.3,2364.0,3859.27,0.0,1495.27,0,8,36.47,2994,Credit Card,1
6568-POCUI,95.2,4285.8,6452.75,43.95,2160.9,50,18,48.02,3363,Credit Card,1
7394-FKDNK,89.45,853.1,1091.69,0.0,238.59,0,18,26.51,4971,Bank Withdrawal,0
9114-AAFQH,65.65,3094.65,5488.89,0.0,2394.24,0,42,49.88,5427,Bank Withdrawal,1
1099-GODLO,20.35,20.35,50.44,0.0,30.09,0,0,30.09,4836,Credit Card,0
7826-VVKWT,96.55,2263.45,2762.17,0.0,498.72,0,23,20.78,4309,Bank Withdrawal,1
9445-SZLCH,97.35,3457.9,4335.3,4.96,882.36,0,27,24.51,4544,Bank Withdrawal,1
2481-SBOYW,25.0,1498.35,3453.4,0.0,1955.05,0,0,32.05,4673,Credit Card,1
3251-YMVWZ,24.05,1301.9,3388.51,0.0,2086.61,0,0,39.37,4865,Bank Withdrawal,0
0319-QZTCO,58.7,168.6,203.01,0.0,34.41,0,51,11.47,3654,Credit Card,1
7873-CVMAW,88.55,6362.35,9681.55,0.0,3319.2,0,27,46.1,6468,Credit Card,0
9507-HSMMZ,20.0,1149.65,2623.85,0.0,1474.2,0,0,27.3,6094,Credit Card,0
2974-GGUXS,91.95,3301.05,3690.81,17.76,407.52,0,16,11.32,3273,Credit Card,1
4702-IOQDC,70.1,70.1,116.27,0.0,46.17,0,30,46.17,2007,Bank Withdrawal,1
9191-MYQKX,75.15,496.9,557.73,0.0,60.83,0,53,8.69,3457,Bank Withdrawal,1
5868-CZJDR,31.35,31.35,111.35,0.0,0.0,80,6,0.0,3605,Mailed Check,1
7325-ENZFI,40.3,1630.4,1630.4,0.0,0.0,0,19,0.0,3424,Bank Withdrawal,1
3858-VOBET,74.95,1710.45,2372.85,0.0,662.4,0,13,28.8,5897,Bank Withdrawal,1
0988-JRWWP,54.2,140.4,264.54,0.0,124.14,0,5,41.38,3167,Bank Withdrawal,1
0956-SYCWG,19.65,244.8,675.49,0.0,430.69,0,0,33.13,2024,Bank Withdrawal,0
0840-DFEZH,75.35,564.65,740.84,0.0,176.19,0,17,25.17,4989,Bank Withdrawal,1
2979-SXESE,94.4,1607.2,2045.63,0.0,438.43,0,12,25.79,4103,Bank Withdrawal,0
1496-GGSUK,25.7,25.7,25.7,0.0,0.0,0,9,0.0,4095,Mailed Check,1
3266-FTKHB,19.15,343.45,785.04,28.63,470.22,0,0,27.66,2717,Credit Card,0
8499-BRXTD,20.1,401.85,1098.99,0.0,697.14,0,0,38.73,5586,Credit Card,0
5702-SKUOB,19.6,93.45,210.01,0.0,116.56,0,0,29.14,4580,Credit Card,0
5804-HYIEZ,106.05,7554.05,10373.65,0.0,2819.6,0,13,40.28,4583,Bank Withdrawal,1
5482-VXSXJ,93.2,2157.3,3180.3,0.0,1023.0,0,17,46.5,4093,Credit Card,1
9137-UIYPG,106.9,3756.45,4785.13,34.47,913.15,150,56,26.09,5447,Bank Withdrawal,1
8763-KIAFH,20.55,583.3,1149.22,0.0,565.92,0,0,20.96,2269,Credit Card,1
6131-IUNXN,20.2,382.2,1273.49,0.0,891.29,0,0,46.91,3636,Mailed Check,0
8063-RJYNF,94.25,1483.25,1950.29,0.0,327.04,140,59,20.44,2827,Bank Withdrawal,1
5146-CBVOE,75.1,1212.85,1821.17,0.0,608.32,0,25,38.02,5176,Bank Withdrawal,0
0114-IGABW,58.25,4145.9,4145.9,0.0,0.0,0,29,0.0,5224,Bank Withdrawal,0
4452-QIIEB,43.9,278.4,488.68,0.0,210.28,0,6,30.04,3565,Credit Card,0
2885-HIJDH,86.9,6194.1,8012.25,0.0,1818.15,0,53,26.35,4667,Bank Withdrawal,0
3370-HXOPH,76.1,257.6,300.65,0.0,43.05,0,17,14.35,2650,Bank Withdrawal,0
0508-OOLTO,71.65,135.75,193.81,0.0,58.06,0,10,29.03,3916,Bank Withdrawal,1
5680-LQOGP,82.45,5646.6,6747.08,0.0,1010.48,90,59,14.86,5308,Credit Card,1
3192-LNKRK,84.05,2909.95,3102.05,0.0,192.1,0,26,5.65,3476,Credit Card,1
2634-HCZGT,60.05,3229.65,4478.16,0.0,1148.51,100,6,21.67,5271,Bank Withdrawal,1
5049-MUBWG,75.0,1908.35,3198.21,0.0,1289.86,0,76,49.61,4705,Bank Withdrawal,0
3538-WZPHD,29.6,79.45,79.45,0.0,0.0,0,3,0.0,2734,Bank Withdrawal,1
4430-YHXGG,25.45,84.2,240.08,0.0,155.88,0,0,38.97,2616,Credit Card,1
7207-RMRDB,105.5,6985.65,9204.75,0.0,2219.1,0,26,34.14,5720,Bank Withdrawal,1
2150-UWTFY,61.15,1422.05,2447.61,0.0,945.56,80,30,42.98,4626,Credit Card,0
3090-QFUVD,20.3,20.3,24.39,0.0,4.09,0,0,4.09,2507,Credit Card,0
3978-YNKDD,20.85,467.5,1154.54,0.0,687.04,0,0,36.16,2654,Credit Card,0
2181-UAESM,53.45,119.5,144.68,0.0,25.18,0,76,12.59,3477,Bank Withdrawal,0
9725-SCPZG,90.85,90.85,91.98,0.0,1.13,0,6,1.13,5086,Bank Withdrawal,1
9578-VRMNM,65.2,1043.35,1802.55,0.0,759.2,0,30,47.45,4722,Credit Card,1
0562-FGDCR,74.55,5430.65,7003.13,0.0,1572.48,0,30,21.84,4703,Credit Card,0
3913-FCUUW,70.45,5165.7,5658.9,0.0,493.2,0,19,6.85,4463,Bank Withdrawal,1
1936-CZAKF,49.65,2409.9,2409.9,0.0,0.0,0,27,0.0,4283,Credit Card,0
6496-JDSSB,80.0,624.6,943.96,0.0,319.36,0,73,39.92,2165,Bank Withdrawal,1
7014-ZZXAW,24.25,1732.95,2315.86,0.0,582.91,0,0,8.21,5409,Credit Card,1
2927-QRRQV,94.65,4312.5,4778.48,0.0,465.98,0,3,10.13,4120,Bank Withdrawal,1
5156-UMKOW,29.65,90.05,90.05,0.0,0.0,0,53,0.0,5880,Mailed Check,0
5180-UCIIQ,40.05,880.2,880.2,0.0,0.0,0,18,0.0,2061,Mailed Check,0
2085-JVGAD,20.35,697.65,732.13,45.07,79.55,0,0,2.15,3078,Bank Withdrawal,0
2758-RNWXS,89.2,3251.3,4987.65,0.0,1736.35,0,26,49.61,4446,Bank Withdrawal,1
1310-QRITU,50.3,913.3,1603.06,0.0,689.76,0,20,38.32,5877,Bank Withdrawal,1
5339-TJFEK,105.5,6487.2,7551.7,0.0,914.5,150,52,14.75,4271,Bank Withdrawal,1
2484-DGXPZ,19.55,658.95,1591.12,0.0,932.17,0,0,30.07,2687,Credit Card,1
4316-XCSLJ,50.3,846.8,1622.17,0.0,775.37,0,53,45.61,3202,Credit Card,1
0641-EVBOJ,82.3,214.4,369.31,0.0,134.91,20,16,44.97,5755,Credit Card,1
8966-KZXXA,25.1,930.95,2183.39,0.0,1252.44,0,0,34.79,3040,Credit Card,0
5405-ZMYXQ,74.6,548.9,559.14,0.0,10.24,0,42,1.28,2142,Credit Card,1
3810-PJUHR,25.35,1715.15,2447.35,0.0,732.2,0,0,10.46,6059,Credit Card,0
9053-JZFKV,116.2,7752.3,10022.26,0.0,2269.96,0,71,33.88,4495,Credit Card,0
5261-QSHQM,24.45,86.6,86.6,0.0,0.0,0,9,0.0,4909,Bank Withdrawal,1
4373-MAVJG,90.9,1259.0,1449.96,0.0,190.96,0,9,13.64,5148,Bank Withdrawal,1
3312-UUMZW,98.85,3145.9,4678.38,0.0,1532.48,0,9,47.89,3981,Credit Card,1
2220-IAHLS,19.4,19.4,22.25,0.0,2.85,0,0,2.85,5566,Credit Card,0
2428-ZMCTB,19.75,208.25,411.15,0.0,202.9,0,0,20.29,3926,Credit Card,0
5175-WLYXL,78.85,1600.25,2317.95,0.0,667.7,50,10,30.35,2444,Credit Card,1
6870-ZWMNX,76.1,5264.25,7710.15,0.0,2335.9,110,9,33.37,5115,Credit Card,0
2984-TBYKU,104.9,7732.65,10052.49,0.0,2319.84,0,25,32.22,6378,Credit Card,1
3223-DWFIO,69.35,261.65,382.09,0.0,120.44,0,25,30.11,4140,Bank Withdrawal,0
5753-QQWPW,59.9,1654.7,1971.66,0.0,316.96,0,11,11.32,4131,Bank Withdrawal,1
9337-SRRNI,25.3,1673.8,3245.26,0.0,1571.46,0,0,23.81,6019,Credit Card,1
8710-YGLWG,44.9,44.9,60.66,0.0,15.76,0,13,15.76,2451,Credit Card,1
0404-SWRVG,74.4,229.55,264.61,8.74,43.8,0,71,14.6,4415,Bank Withdrawal,1
3213-VVOLG,25.35,253.5,617.2,0.0,363.7,0,0,36.37,2299,Credit Card,0
6508-NJYRO,18.8,294.95,509.0,0.0,214.05,0,0,14.27,3977,Credit Card,0
9286-BHDQG,45.25,3139.8,3139.8,0.0,0.0,0,17,0.0,5041,Credit Card,0
0784-ZQJZX,19.9,1529.65,3828.61,0.0,2298.96,0,0,31.93,5730,Credit Card,0
1661-CZBAU,70.95,3629.2,5777.68,0.0,2148.48,0,18,44.76,2667,Bank Withdrawal,1
4847-QNOKA,44.9,44.9,86.68,0.0,41.78,0,59,41.78,2632,Bank Withdrawal,1
5294-DMSFH,87.8,2621.75,3596.73,0.0,974.98,0,13,33.62,4780,Credit Card,1
9614-RMGHA,91.85,5940.85,8329.6,0.0,2388.75,0,73,36.75,5530,Bank Withdrawal,1
5652-MSDEY,75.75,777.3,1175.8,0.0,398.5,0,21,39.85,4525,Mailed Check,1
8869-LIHMK,115.1,7334.05,10169.89,0.0,2835.84,0,4,44.31,5213,Bank Withdrawal,1
4304-XUMGI,75.15,3822.45,5467.45,0.0,1645.0,0,18,32.9,6084,Bank Withdrawal,1
7541-YLXCL,65.4,2498.4,3452.76,0.0,954.36,0,85,26.51,5220,Credit Card,1
8878-RYUKI,59.45,3043.7,3530.94,0.0,487.24,0,59,9.37,6107,Bank Withdrawal,1
3373-DIUUN,21.25,711.9,1911.9,0.0,1200.0,0,0,40.0,3047,Credit Card,0
9708-KFDBY,20.55,20.55,27.87,0.0,7.32,0,0,7.32,4801,Credit Card,0
7931-PXHFC,62.3,2354.8,4110.78,0.0,1755.98,0,14,46.21,3818,Credit Card,1
